Building Name ESP;Building Name ING;Current Level;Goal Level;Total Fps;Owner Investment;P1 Reward;P2 Reward;P3 Reward;P4 Reward;P5 Reward;P1 Reward (Arc Level 80);P2 Reward (Arc Level 80);P3 Reward (Arc Level 80);P4 Reward (Arc Level 80);P5 Reward (Arc Level 80)
Aguja Espacial;Space Needle;0;1;60;31;10;5;0;0;0;19;10;0;0;0
Aguja Espacial;Space Needle;1;2;100;71;10;5;0;0;0;19;10;0;0;0
Aguja Espacial;Space Needle;2;3;180;113;20;10;5;0;0;38;19;10;0;0
Aguja Espacial;Space Needle;3;4;270;174;30;15;5;0;0;57;29;10;0;0
Aguja Espacial;Space Needle;4;5;360;236;40;20;5;0;0;76;38;10;0;0
Aguja Espacial;Space Needle;5;6;460;288;50;25;10;5;0;95;48;19;10;0
Aguja Espacial;Space Needle;6;7;560;360;60;30;10;5;0;114;57;19;10;0
Aguja Espacial;Space Needle;7;8;670;441;70;35;10;5;0;133;67;19;10;0
Aguja Espacial;Space Needle;8;9;770;503;80;40;15;5;0;152;76;29;10;0
Aguja Espacial;Space Needle;9;10;880;584;90;45;15;5;0;171;86;29;10;0
Aguja Espacial;Space Needle;10;11;902;578;100;50;15;5;0;190;95;29;10;0
Aguja Espacial;Space Needle;11;12;925;544;115;60;20;5;0;219;114;38;10;0
Aguja Espacial;Space Needle;12;13;948;538;125;65;20;5;0;238;124;38;10;0
Aguja Espacial;Space Needle;13;14;972;524;135;70;25;5;0;257;133;48;10;0
Aguja Espacial;Space Needle;14;15;996;510;150;75;25;5;0;285;143;48;10;0
Aguja Espacial;Space Needle;15;16;1021;507;160;80;25;5;0;304;152;48;10;0
Aguja Espacial;Space Needle;16;17;1047;467;175;90;30;10;0;333;171;57;19;0
Aguja Espacial;Space Needle;17;18;1073;464;185;95;30;10;0;352;181;57;19;0
Aguja Espacial;Space Needle;18;19;1099;443;200;100;35;10;0;380;190;67;19;0
Aguja Espacial;Space Needle;19;20;1127;442;210;105;35;10;0;399;200;67;19;0
Aguja Espacial;Space Needle;20;21;1155;413;225;115;40;10;0;428;219;76;19;0
Aguja Espacial;Space Needle;21;22;1184;405;240;120;40;10;0;456;228;76;19;0
Aguja Espacial;Space Needle;22;23;1214;406;250;125;40;10;0;475;238;76;19;0
Aguja Espacial;Space Needle;23;24;1244;378;265;135;45;10;0;504;257;86;19;0
Aguja Espacial;Space Needle;24;25;1275;372;280;140;45;10;0;532;266;86;19;0
Aguja Espacial;Space Needle;25;26;1307;346;290;145;50;15;5;551;276;95;29;10
Aguja Espacial;Space Needle;26;27;1340;331;305;155;50;15;5;580;295;95;29;10
Aguja Espacial;Space Needle;27;28;1373;317;320;160;55;15;5;608;304;105;29;10
Aguja Espacial;Space Needle;28;29;1407;303;335;170;55;15;5;637;323;105;29;10
Aguja Espacial;Space Needle;29;30;1442;300;345;175;60;15;5;656;333;114;29;10
Aguja Espacial;Space Needle;30;31;1479;300;360;180;60;15;5;684;342;114;29;10
Aguja Espacial;Space Needle;31;32;1515;278;375;190;65;15;5;713;361;124;29;10
Aguja Espacial;Space Needle;32;33;1553;278;390;195;65;15;5;741;371;124;29;10
Aguja Espacial;Space Needle;33;34;1592;251;405;205;70;20;5;770;390;133;38;10
Aguja Espacial;Space Needle;34;35;1632;254;420;210;70;20;5;798;399;133;38;10
Aguja Espacial;Space Needle;35;36;1673;266;430;215;70;20;5;817;409;133;38;10
Aguja Espacial;Space Needle;36;37;1715;241;450;225;75;20;5;855;428;143;38;10
Aguja Espacial;Space Needle;37;38;1757;255;460;230;75;20;5;874;437;143;38;10
Aguja Espacial;Space Needle;38;39;1801;242;475;240;80;20;5;903;456;152;38;10
Aguja Espacial;Space Needle;39;40;1846;249;490;245;80;20;5;931;466;152;38;10
Aguja Espacial;Space Needle;40;41;1893;238;505;255;85;20;5;960;485;162;38;10
Aguja Espacial;Space Needle;41;42;1940;248;520;260;85;20;5;988;494;162;38;10
Aguja Espacial;Space Needle;42;43;1988;229;535;270;90;25;5;1017;513;171;48;10
Aguja Espacial;Space Needle;43;44;2038;241;550;275;90;25;5;1045;523;171;48;10
Aguja Espacial;Space Needle;44;45;2089;234;565;285;95;25;5;1074;542;181;48;10
Aguja Espacial;Space Needle;45;46;2141;249;580;290;95;25;5;1102;551;181;48;10
Aguja Espacial;Space Needle;46;47;2195;237;600;300;100;25;5;1140;570;190;48;10
Aguja Espacial;Space Needle;47;48;2250;234;615;310;105;25;5;1169;589;200;48;10
Aguja Espacial;Space Needle;48;49;2306;252;630;315;105;25;5;1197;599;200;48;10
Aguja Espacial;Space Needle;49;50;2363;243;645;325;110;30;5;1226;618;209;57;10
Aguja Espacial;Space Needle;50;51;2422;265;660;330;110;30;5;1254;627;209;57;10
Aguja Espacial;Space Needle;51;52;2483;268;675;340;115;30;5;1283;646;219;57;10
Aguja Espacial;Space Needle;52;53;2545;292;690;345;115;30;5;1311;656;219;57;10
Aguja Espacial;Space Needle;53;54;2609;299;705;355;120;30;5;1340;675;228;57;10
Aguja Espacial;Space Needle;54;55;2674;307;725;365;120;30;5;1378;694;228;57;10
Aguja Espacial;Space Needle;55;56;2741;327;740;370;125;30;5;1406;703;238;57;10
Aguja Espacial;Space Needle;56;57;2809;347;755;380;125;30;5;1435;722;238;57;10
Aguja Espacial;Space Needle;57;58;2879;360;770;385;130;35;5;1463;732;247;67;10
Aguja Espacial;Space Needle;58;59;2951;384;785;395;130;35;5;1492;751;247;67;10
Aguja Espacial;Space Needle;59;60;3025;411;800;400;135;35;5;1520;760;257;67;10
Aguja Espacial;Space Needle;60;61;3101;430;820;410;135;35;5;1558;779;257;67;10
Aguja Espacial;Space Needle;61;62;3178;450;835;420;140;35;5;1587;798;266;67;10
Aguja Espacial;Space Needle;62;63;3258;492;850;425;140;35;5;1615;808;266;67;10
Aguja Espacial;Space Needle;63;64;3339;506;870;435;145;35;5;1653;827;276;67;10
Aguja Espacial;Space Needle;64;65;3423;515;885;445;150;40;10;1682;846;285;76;19
Aguja Espacial;Space Needle;65;66;3508;563;900;450;150;40;10;1710;855;285;76;19
Aguja Espacial;Space Needle;66;67;3596;593;915;460;155;40;10;1739;874;295;76;19
Aguja Espacial;Space Needle;67;68;3686;626;935;470;155;40;10;1777;893;295;76;19
Aguja Espacial;Space Needle;68;69;3778;671;950;475;160;40;10;1805;903;304;76;19
Aguja Espacial;Space Needle;69;70;3872;717;965;485;160;40;10;1834;922;304;76;19
Aguja Espacial;Space Needle;70;71;3969;747;985;495;165;40;10;1872;941;314;76;19
Aguja Espacial;Space Needle;71;72;4068;809;1000;500;165;40;10;1900;950;314;76;19
Aguja Espacial;Space Needle;72;73;4170;844;1015;510;170;45;10;1929;969;323;86;19
Aguja Espacial;Space Needle;73;74;4274;881;1035;520;175;45;10;1967;988;333;86;19
Aguja Espacial;Space Needle;74;75;4381;950;1050;525;175;45;10;1995;998;333;86;19
Aguja Espacial;Space Needle;75;76;4491;1003;1065;535;180;45;10;2024;1017;342;86;19
Aguja Espacial;Space Needle;76;77;4603;1058;1085;545;180;45;10;2062;1036;342;86;19
Aguja Espacial;Space Needle;77;78;4718;1126;1100;550;185;45;10;2090;1045;352;86;19
Aguja Espacial;Space Needle;78;79;4836;1187;1120;560;185;45;10;2128;1064;352;86;19
Aguja Espacial;Space Needle;79;80;4957;1242;1135;570;190;50;10;2157;1083;361;95;19
Aguja Espacial;Space Needle;80;81;5081;1328;1150;575;190;50;10;2185;1093;361;95;19
Aguja Espacial;Space Needle;81;82;5208;1388;1170;585;195;50;10;2223;1112;371;95;19
Aguja Espacial;Space Needle;82;83;5338;1461;1185;595;200;50;10;2252;1131;380;95;19
Aguja Espacial;Space Needle;83;84;5471;1537;1205;605;200;50;10;2290;1150;380;95;19
Aguja Espacial;Space Needle;84;85;5608;1627;1220;610;205;50;10;2318;1159;390;95;19
Aguja Espacial;Space Needle;85;86;5748;1710;1240;620;205;50;10;2356;1178;390;95;19
Aguja Espacial;Space Needle;86;87;5892;1787;1255;630;210;55;10;2385;1197;399;105;19
Aguja Espacial;Space Needle;87;88;6039;1867;1275;640;215;55;10;2423;1216;409;105;19
Aguja Espacial;Space Needle;88;89;6190;1980;1290;645;215;55;10;2451;1226;409;105;19
Aguja Espacial;Space Needle;89;90;6345;2069;1310;655;220;55;10;2489;1245;418;105;19
Aguja Espacial;Space Needle;90;91;6504;2180;1325;665;220;55;10;2518;1264;418;105;19
Aguja Espacial;Space Needle;91;92;6666;2275;1345;675;225;55;10;2556;1283;428;105;19
Aguja Espacial;Space Needle;92;93;6833;2405;1360;680;225;55;10;2584;1292;428;105;19
Aguja Espacial;Space Needle;93;94;7004;2501;1380;690;230;60;10;2622;1311;437;114;19
Aguja Espacial;Space Needle;94;95;7179;2618;1395;700;235;60;10;2651;1330;447;114;19
Aguja Espacial;Space Needle;95;96;7358;2740;1415;710;235;60;10;2689;1349;447;114;19
Aguja Espacial;Space Needle;96;97;7542;2877;1430;715;240;60;10;2717;1359;456;114;19
Aguja Espacial;Space Needle;97;98;7731;3009;1450;725;240;60;10;2755;1378;456;114;19
Aguja Espacial;Space Needle;98;99;7924;3135;1470;735;245;60;10;2793;1397;466;114;19
Aguja Espacial;Space Needle;99;100;8122;3256;1485;745;250;65;15;2822;1416;475;124;29
Aguja Espacial;Space Needle;100;101;8325;3402;1505;755;250;65;15;2860;1435;475;124;29
Aguja Espacial;Space Needle;101;102;8533;3563;1520;760;255;65;15;2888;1444;485;124;29
Aguja Espacial;Space Needle;102;103;8746;3719;1540;770;255;65;15;2926;1463;485;124;29
Aguja Espacial;Space Needle;103;104;8965;3881;1555;780;260;65;15;2955;1482;494;124;29
Aguja Espacial;Space Needle;104;105;9189;4038;1575;790;265;65;15;2993;1501;504;124;29
Aguja Espacial;Space Needle;105;106;9419;4211;1595;800;265;65;15;3031;1520;504;124;29
Aguja Espacial;Space Needle;106;107;9654;4390;1610;805;270;70;15;3059;1530;513;133;29
Aguja Espacial;Space Needle;107;108;9896;4575;1630;815;270;70;15;3097;1549;513;133;29
Aguja Espacial;Space Needle;108;109;10143;4755;1650;825;275;70;15;3135;1568;523;133;29
Aguja Espacial;Space Needle;109;110;10397;4952;1665;835;280;70;15;3164;1587;532;133;29
Aguja Espacial;Space Needle;110;111;10656;5154;1685;845;280;70;15;3202;1606;532;133;29
Aguja Espacial;Space Needle;111;112;10923;5354;1705;855;285;70;15;3240;1625;542;133;29
Aguja Espacial;Space Needle;112;113;11196;5590;1720;860;285;70;15;3268;1634;542;133;29
Aguja Espacial;Space Needle;113;114;11476;5794;1740;870;290;75;15;3306;1653;551;143;29
Aguja Espacial;Space Needle;114;115;11763;6023;1755;880;295;75;15;3335;1672;561;143;29
Aguja Espacial;Space Needle;115;116;12057;6260;1775;890;295;75;15;3373;1691;561;143;29
Aguja Espacial;Space Needle;116;117;12358;6495;1795;900;300;75;15;3411;1710;570;143;29
Aguja Espacial;Space Needle;117;118;12667;6737;1815;910;305;75;15;3449;1729;580;143;29
Aguja Espacial;Space Needle;118;119;12984;7016;1830;915;305;75;15;3477;1739;580;143;29
Aguja Espacial;Space Needle;119;120;13308;7265;1850;925;310;80;15;3515;1758;589;152;29
Aguja Espacial;Space Needle;120;121;13641;7541;1870;935;310;80;15;3553;1777;589;152;29
Aguja Espacial;Space Needle;121;122;13982;7824;1885;945;315;80;15;3582;1796;599;152;29
Aguja Espacial;Space Needle;122;123;14332;8108;1905;955;320;80;15;3620;1815;608;152;29
Aguja Espacial;Space Needle;123;124;14690;8409;1925;965;320;80;15;3658;1834;608;152;29
Aguja Espacial;Space Needle;124;125;15057;8709;1945;975;325;80;15;3696;1853;618;152;29
Aguja Espacial;Space Needle;125;126;15434;9049;1960;980;325;80;15;3724;1862;618;152;29
Aguja Espacial;Space Needle;126;127;15819;9358;1980;990;330;85;15;3762;1881;627;162;29
Aguja Espacial;Space Needle;127;128;16215;9687;2000;1000;335;85;15;3800;1900;637;162;29
Alcatraz;Alcatraz;0;1;60;31;10;5;0;0;0;19;10;0;0;0
Alcatraz;Alcatraz;1;2;90;61;10;5;0;0;0;19;10;0;0;0
Alcatraz;Alcatraz;2;3;170;103;20;10;5;0;0;38;19;10;0;0
Alcatraz;Alcatraz;3;4;260;164;30;15;5;0;0;57;29;10;0;0
Alcatraz;Alcatraz;4;5;340;225;35;20;5;0;0;67;38;10;0;0
Alcatraz;Alcatraz;5;6;440;277;45;25;10;5;0;86;48;19;10;0
Alcatraz;Alcatraz;6;7;530;339;55;30;10;5;0;105;57;19;10;0
Alcatraz;Alcatraz;7;8;630;410;65;35;10;5;0;124;67;19;10;0
Alcatraz;Alcatraz;8;9;740;482;75;40;15;5;0;143;76;29;10;0
Alcatraz;Alcatraz;9;10;830;543;85;45;15;5;0;162;86;29;10;0
Alcatraz;Alcatraz;10;11;851;536;95;50;15;5;0;181;95;29;10;0
Alcatraz;Alcatraz;11;12;873;520;105;55;20;5;0;200;105;38;10;0
Alcatraz;Alcatraz;12;13;894;504;120;60;20;5;0;228;114;38;10;0
Alcatraz;Alcatraz;13;14;917;498;130;65;20;5;0;247;124;38;10;0
Alcatraz;Alcatraz;14;15;940;483;140;70;25;5;0;266;133;48;10;0
Alcatraz;Alcatraz;15;16;963;458;155;80;25;5;0;295;152;48;10;0
Alcatraz;Alcatraz;16;17;987;435;165;85;30;10;0;314;162;57;19;0
Alcatraz;Alcatraz;17;18;1012;432;175;90;30;10;0;333;171;57;19;0
Alcatraz;Alcatraz;18;19;1037;419;190;95;30;10;0;361;181;57;19;0
