Current Level;Goal Level;Total Fps;Owner Investment;P1 Reward;P2 Reward;P3 Reward;P4 Reward;P5 Reward;P1 Reward (Arc Level 80);P2 Reward (Arc Level 80);P3 Reward (Arc Level 80);P4 Reward (Arc Level 80);P5 Reward (Arc Level 80)
0;1;60;31;10;5;0;0;0;19;10;0;0;0
1;2;100;71;10;5;0;0;0;19;10;0;0;0
2;3;180;113;20;10;5;0;0;38;19;10;0;0
3;4;270;174;30;15;5;0;0;57;29;10;0;0
4;5;360;236;40;20;5;0;0;76;38;10;0;0
5;6;460;288;50;25;10;5;0;95;48;19;10;0
6;7;560;360;60;30;10;5;0;114;57;19;10;0
7;8;670;441;70;35;10;5;0;133;67;19;10;0
8;9;770;503;80;40;15;5;0;152;76;29;10;0
9;10;880;584;90;45;15;5;0;171;86;29;10;0
10;11;902;578;100;50;15;5;0;190;95;29;10;0
11;12;925;544;115;60;20;5;0;219;114;38;10;0
12;13;948;538;125;65;20;5;0;238;124;38;10;0
13;14;972;524;135;70;25;5;0;257;133;48;10;0
14;15;996;510;150;75;25;5;0;285;143;48;10;0
15;16;1021;507;160;80;25;5;0;304;152;48;10;0
16;17;1047;467;175;90;30;10;0;333;171;57;19;0
17;18;1073;464;185;95;30;10;0;352;181;57;19;0
18;19;1099;443;200;100;35;10;0;380;190;67;19;0
19;20;1127;442;210;105;35;10;0;399;200;67;19;0
20;21;1155;413;225;115;40;10;0;428;219;76;19;0
21;22;1184;405;240;120;40;10;0;456;228;76;19;0
22;23;1214;406;250;125;40;10;0;475;238;76;19;0
23;24;1244;378;265;135;45;10;0;504;257;86;19;0
24;25;1275;372;280;140;45;10;0;532;266;86;19;0
25;26;1307;346;290;145;50;15;5;551;276;95;29;10
26;27;1340;331;305;155;50;15;5;580;295;95;29;10
27;28;1373;317;320;160;55;15;5;608;304;105;29;10
28;29;1407;303;335;170;55;15;5;637;323;105;29;10
29;30;1442;300;345;175;60;15;5;656;333;114;29;10
30;31;1479;300;360;180;60;15;5;684;342;114;29;10
31;32;1515;278;375;190;65;15;5;713;361;124;29;10
32;33;1553;278;390;195;65;15;5;741;371;124;29;10
33;34;1592;251;405;205;70;20;5;770;390;133;38;10
34;35;1632;254;420;210;70;20;5;798;399;133;38;10
35;36;1673;266;430;215;70;20;5;817;409;133;38;10
36;37;1715;241;450;225;75;20;5;855;428;143;38;10
37;38;1757;255;460;230;75;20;5;874;437;143;38;10
38;39;1801;242;475;240;80;20;5;903;456;152;38;10
39;40;1846;249;490;245;80;20;5;931;466;152;38;10
40;41;1893;238;505;255;85;20;5;960;485;162;38;10
41;42;1940;248;520;260;85;20;5;988;494;162;38;10
42;43;1988;229;535;270;90;25;5;1017;513;171;48;10
43;44;2038;241;550;275;90;25;5;1045;523;171;48;10
44;45;2089;234;565;285;95;25;5;1074;542;181;48;10
45;46;2141;249;580;290;95;25;5;1102;551;181;48;10
46;47;2195;237;600;300;100;25;5;1140;570;190;48;10
47;48;2250;234;615;310;105;25;5;1169;589;200;48;10
48;49;2306;252;630;315;105;25;5;1197;599;200;48;10
49;50;2363;243;645;325;110;30;5;1226;618;209;57;10
50;51;2422;265;660;330;110;30;5;1254;627;209;57;10
51;52;2483;268;675;340;115;30;5;1283;646;219;57;10
52;53;2545;292;690;345;115;30;5;1311;656;219;57;10
53;54;2609;299;705;355;120;30;5;1340;675;228;57;10
54;55;2674;307;725;365;120;30;5;1378;694;228;57;10
55;56;2741;327;740;370;125;30;5;1406;703;238;57;10
56;57;2809;347;755;380;125;30;5;1435;722;238;57;10
57;58;2879;360;770;385;130;35;5;1463;732;247;67;10
58;59;2951;384;785;395;130;35;5;1492;751;247;67;10
59;60;3025;411;800;400;135;35;5;1520;760;257;67;10
60;61;3101;430;820;410;135;35;5;1558;779;257;67;10
61;62;3178;450;835;420;140;35;5;1587;798;266;67;10
62;63;3258;492;850;425;140;35;5;1615;808;266;67;10
63;64;3339;506;870;435;145;35;5;1653;827;276;67;10
64;65;3423;515;885;445;150;40;10;1682;846;285;76;19
65;66;3508;563;900;450;150;40;10;1710;855;285;76;19
66;67;3596;593;915;460;155;40;10;1739;874;295;76;19
67;68;3686;626;935;470;155;40;10;1777;893;295;76;19
68;69;3778;671;950;475;160;40;10;1805;903;304;76;19
69;70;3872;717;965;485;160;40;10;1834;922;304;76;19
70;71;3969;747;985;495;165;40;10;1872;941;314;76;19
71;72;4068;809;1000;500;165;40;10;1900;950;314;76;19
72;73;4170;844;1015;510;170;45;10;1929;969;323;86;19
73;74;4274;881;1035;520;175;45;10;1967;988;333;86;19
74;75;4381;950;1050;525;175;45;10;1995;998;333;86;19
75;76;4491;1003;1065;535;180;45;10;2024;1017;342;86;19
76;77;4603;1058;1085;545;180;45;10;2062;1036;342;86;19
77;78;4718;1126;1100;550;185;45;10;2090;1045;352;86;19
78;79;4836;1187;1120;560;185;45;10;2128;1064;352;86;19
79;80;4957;1242;1135;570;190;50;10;2157;1083;361;95;19
80;81;5081;1328;1150;575;190;50;10;2185;1093;361;95;19
81;82;5208;1388;1170;585;195;50;10;2223;1112;371;95;19
82;83;5338;1461;1185;595;200;50;10;2252;1131;380;95;19
