Current Level;Goal Level;Total Fps;Owner Investment;P1 Reward;P2 Reward;P3 Reward;P4 Reward;P5 Reward;P1 Reward (Arc Level 80);P2 Reward (Arc Level 80);P3 Reward (Arc Level 80);P4 Reward (Arc Level 80);P5 Reward (Arc Level 80)
0;1;60;31;10;5;0;0;0;19;10;0;0;0
1;2;90;61;10;5;0;0;0;19;10;0;0;0
2;3;170;103;20;10;5;0;0;38;19;10;0;0
3;4;260;164;30;15;5;0;0;57;29;10;0;0
4;5;340;225;35;20;5;0;0;67;38;10;0;0
5;6;440;277;45;25;10;5;0;86;48;19;10;0
6;7;530;339;55;30;10;5;0;105;57;19;10;0
7;8;630;410;65;35;10;5;0;124;67;19;10;0
8;9;740;482;75;40;15;5;0;143;76;29;10;0
9;10;830;543;85;45;15;5;0;162;86;29;10;0
10;11;851;536;95;50;15;5;0;181;95;29;10;0
11;12;873;520;105;55;20;5;0;200;105;38;10;0
12;13;894;504;120;60;20;5;0;228;114;38;10;0
13;14;917;498;130;65;20;5;0;247;124;38;10;0
14;15;940;483;140;70;25;5;0;266;133;48;10;0
15;16;963;458;155;80;25;5;0;295;152;48;10;0
16;17;987;435;165;85;30;10;0;314;162;57;19;0
17;18;1012;432;175;90;30;10;0;333;171;57;19;0
18;19;1037;419;190;95;30;10;0;361;181;57;19;0
19;20;1063;407;200;100;35;10;0;380;190;67;19;0
20;21;1090;386;215;110;35;10;0;409;209;67;19;0
21;22;1117;375;225;115;40;10;0;428;219;76;19;0
22;23;1145;366;240;120;40;10;0;456;228;76;19;0
23;24;1173;365;250;125;40;10;0;475;238;76;19;0
24;25;1203;337;265;135;45;10;0;504;257;86;19;0
25;26;1233;339;275;140;45;10;0;523;266;86;19;0
26;27;1263;302;290;145;50;15;5;551;276;95;29;10
27;28;1295;306;300;150;50;15;5;570;285;95;29;10
28;29;1327;280;315;160;55;15;5;599;304;105;29;10
29;30;1361;276;330;165;55;15;5;627;314;105;29;10
30;31;1395;282;340;170;55;15;5;646;323;105;29;10
31;32;1429;259;355;180;60;15;5;675;342;114;29;10
32;33;1465;257;370;185;60;15;5;703;352;114;29;10
33;34;1502;236;385;195;65;15;5;732;371;124;29;10
34;35;1539;245;395;200;65;15;5;751;380;124;29;10
35;36;1578;228;410;205;70;20;5;779;390;133;38;10
36;37;1617;219;425;215;70;20;5;808;409;133;38;10
37;38;1658;213;440;220;75;20;5;836;418;143;38;10
38;39;1699;225;450;225;75;20;5;855;428;143;38;10
39;40;1741;210;465;235;80;20;5;884;447;152;38;10
40;41;1785;217;480;240;80;20;5;912;456;152;38;10
41;42;1830;204;495;250;85;20;5;941;475;162;38;10
42;43;1875;211;510;255;85;20;5;969;485;162;38;10
43;44;1922;191;525;265;90;25;5;998;504;171;48;10
44;45;1970;211;535;270;90;25;5;1017;513;171;48;10
45;46;2020;223;550;275;90;25;5;1045;523;171;48;10
46;47;2070;215;565;285;95;25;5;1074;542;181;48;10
47;48;2122;230;580;290;95;25;5;1102;551;181;48;10
48;49;2175;226;595;300;100;25;5;1131;570;190;48;10
49;50;2229;242;610;305;100;25;5;1159;580;190;48;10
50;51;2285;240;625;315;105;25;5;1188;599;200;48;10
51;52;2342;260;640;320;105;25;5;1216;608;200;48;10
52;53;2400;252;655;330;110;30;5;1245;627;209;57;10
53;54;2460;274;670;335;110;30;5;1273;637;209;57;10
54;55;2522;278;685;345;115;30;5;1302;656;219;57;10
