Current Level;Goal Level;Total Fps;Owner Investment;P1 Reward;P2 Reward;P3 Reward;P4 Reward;P5 Reward;P1 Reward (Arc Level 80);P2 Reward (Arc Level 80);P3 Reward (Arc Level 80);P4 Reward (Arc Level 80);P5 Reward (Arc Level 80)
0;1;50;30;5;5;0;0;0;10;10;0;0;0
1;2;70;41;10;5;0;0;0;19;10;0;0;0
2;3;130;72;15;10;5;0;0;29;19;10;0;0
3;4;200;133;20;10;5;0;0;38;19;10;0;0
4;5;270;174;30;15;5;0;0;57;29;10;0;0
5;6;330;215;35;20;5;0;0;67;38;10;0;0
6;7;420;257;45;25;10;5;0;86;48;19;10;0
7;8;490;318;50;25;10;5;0;95;48;19;10;0
8;9;570;370;60;30;10;5;0;114;57;19;10;0
9;10;650;430;65;35;10;5;0;124;67;19;10;0
10;11;667;409;75;40;15;5;0;143;76;29;10;0
11;12;683;396;85;45;15;5;0;162;86;29;10;0
12;13;700;385;95;50;15;5;0;181;95;29;10;0
13;14;718;394;100;50;15;5;0;190;95;29;10;0
14;15;736;374;110;55;20;5;0;209;105;38;10;0
15;16;754;364;120;60;20;5;0;228;114;38;10;0
16;17;773;354;130;65;20;5;0;247;124;38;10;0
17;18;792;335;140;70;25;5;0;266;133;48;10;0
18;19;812;326;150;75;25;5;0;285;143;48;10;0
19;20;833;328;155;80;25;5;0;295;152;48;10;0
20;21;853;301;165;85;30;10;0;314;162;57;19;0
21;22;875;295;175;90;30;10;0;333;171;57;19;0
22;23;897;288;185;95;30;10;0;352;181;57;19;0
23;24;919;272;195;100;35;10;0;371;190;67;19;0
24;25;942;266;205;105;35;10;0;390;200;67;19;0
25;26;965;261;215;110;35;10;0;409;209;67;19;0
26;27;990;248;225;115;40;10;0;428;219;76;19;0
27;28;1014;244;235;120;40;10;0;447;228;76;19;0
28;29;1040;241;245;125;40;10;0;466;238;76;19;0
29;30;1066;229;255;130;45;10;0;485;247;86;19;0
30;31;1092;226;265;135;45;10;0;504;257;86;19;0
31;32;1120;226;275;140;45;10;0;523;266;86;19;0
32;33;1147;195;285;145;50;15;5;542;276;95;29;10
33;34;1176;187;300;150;50;15;5;570;285;95;29;10
34;35;1206;188;310;155;50;15;5;589;295;95;29;10
35;36;1236;180;320;160;55;15;5;608;304;105;29;10
36;37;1267;182;330;165;55;15;5;627;314;105;29;10
37;38;1298;185;340;170;55;15;5;646;323;105;29;10
38;39;1331;180;350;175;60;15;5;665;333;114;29;10
39;40;1364;165;365;185;60;15;5;694;352;114;29;10
40;41;1398;161;375;190;65;15;5;713;361;124;29;10
41;42;1433;167;385;195;65;15;5;732;371;124;29;10
42;43;1469;175;395;200;65;15;5;751;380;124;29;10
43;44;1505;164;405;205;70;20;5;770;390;133;38;10
44;45;1543;165;420;210;70;20;5;798;399;133;38;10
45;46;1582;175;430;215;70;20;5;817;409;133;38;10
46;47;1621;176;440;220;75;20;5;836;418;143;38;10
47;48;1662;188;450;225;75;20;5;855;428;143;38;10
48;49;1703;172;465;235;80;20;5;884;447;152;38;10
49;50;1746;187;475;240;80;20;5;903;456;152;38;10
50;51;1789;201;485;245;80;20;5;922;466;152;38;10
51;52;1834;199;500;250;85;20;5;950;475;162;38;10
52;53;1880;216;510;255;85;20;5;969;485;162;38;10
53;54;1927;235;520;260;85;20;5;988;494;162;38;10
54;55;1975;216;535;270;90;25;5;1017;513;171;48;10
55;56;2025;237;545;275;90;25;5;1036;523;171;48;10
56;57;2075;249;555;280;95;25;5;1055;532;181;48;10
57;58;2127;263;570;285;95;25;5;1083;542;181;48;10
58;59;2180;288;580;290;95;25;5;1102;551;181;48;10
59;60;2235;305;590;295;100;25;5;1121;561;190;48;10
60;61;2290;312;605;305;100;25;5;1150;580;190;48;10
61;62;2348;332;615;310;105;25;5;1169;589;200;48;10
62;63;2406;352;630;315;105;25;5;1197;599;200;48;10
63;64;2467;385;640;320;105;25;5;1216;608;200;48;10
64;65;2528;399;650;325;110;30;5;1235;618;209;57;10
65;66;2591;414;665;335;110;30;5;1264;637;209;57;10
66;67;2656;441;675;340;115;30;5;1283;646;219;57;10
67;68;2723;470;690;345;115;30;5;1311;656;219;57;10
68;69;2791;510;700;350;115;30;5;1330;665;219;57;10
69;70;2860;522;715;360;120;30;5;1359;684;228;57;10
70;71;2932;565;725;365;120;30;5;1378;694;228;57;10
71;72;3005;600;735;370;125;30;5;1397;703;238;57;10
