Current Level;Goal Level;Total Fps;Owner Investment;P1 Reward;P2 Reward;P3 Reward;P4 Reward;P5 Reward;P1 Reward (Arc Level 80);P2 Reward (Arc Level 80);P3 Reward (Arc Level 80);P4 Reward (Arc Level 80);P5 Reward (Arc Level 80)
0;1;60;31;10;5;0;0;0;19;10;0;0;0
1;2;100;71;10;5;0;0;0;19;10;0;0;0
2;3;180;113;20;10;5;0;0;38;19;10;0;0
3;4;270;174;30;15;5;0;0;57;29;10;0;0
4;5;360;236;40;20;5;0;0;76;38;10;0;0
5;6;460;288;50;25;10;5;0;95;48;19;10;0
6;7;560;360;60;30;10;5;0;114;57;19;10;0
7;8;670;412;75;40;15;5;0;143;76;29;10;0
8;9;770;483;85;45;15;5;0;162;86;29;10;0
9;10;880;565;95;50;15;5;0;181;95;29;10;0
10;11;902;540;110;55;20;5;0;209;105;38;10;0
11;12;925;535;120;60;20;5;0;228;114;38;10;0
12;13;948;529;130;65;20;5;0;247;124;38;10;0
13;14;972;495;145;75;25;5;0;276;143;48;10;0
14;15;996;491;155;80;25;5;0;295;152;48;10;0
15;16;1021;460;170;85;30;10;0;323;162;57;19;0
16;17;1047;438;185;95;30;10;0;352;181;57;19;0
17;18;1073;426;195;100;35;10;0;371;190;67;19;0
18;19;1099;414;210;105;35;10;0;399;200;67;19;0
19;20;1127;385;225;115;40;10;0;428;219;76;19;0
20;21;1155;385;235;120;40;10;0;447;228;76;19;0
21;22;1184;376;250;125;40;10;0;475;238;76;19;0
22;23;1214;348;265;135;45;10;0;504;257;86;19;0
23;24;1244;341;280;140;45;10;0;532;266;86;19;0
24;25;1275;295;295;150;50;15;5;561;285;95;29;10
25;26;1307;298;305;155;50;15;5;580;295;95;29;10
26;27;1340;284;320;160;55;15;5;608;304;105;29;10
27;28;1373;269;335;170;55;15;5;637;323;105;29;10
28;29;1407;256;350;175;60;15;5;665;333;114;29;10
29;30;1442;243;365;185;60;15;5;694;352;114;29;10
30;31;1479;233;380;190;65;15;5;722;361;124;29;10
31;32;1515;221;395;200;65;15;5;751;380;124;29;10
32;33;1553;203;410;205;70;20;5;779;390;133;38;10
33;34;1592;194;425;215;70;20;5;808;409;133;38;10
34;35;1632;187;440;220;75;20;5;836;418;143;38;10
35;36;1673;180;455;230;75;20;5;865;437;143;38;10
36;37;1715;175;470;235;80;20;5;893;447;152;38;10
37;38;1757;169;485;245;80;20;5;922;466;152;38;10
38;39;1801;166;500;250;85;20;5;950;475;162;38;10
39;40;1846;163;515;260;85;20;5;979;494;162;38;10
40;41;1893;134;535;270;90;25;5;1017;513;171;48;10
41;42;1940;143;550;275;90;25;5;1045;523;171;48;10
42;43;1988;133;565;285;95;25;5;1074;542;181;48;10
43;44;2038;146;580;290;95;25;5;1102;551;181;48;10
44;45;2089;140;595;300;100;25;5;1131;570;190;48;10
45;46;2141;125;615;310;105;25;5;1169;589;200;48;10
46;47;2195;141;630;315;105;25;5;1197;599;200;48;10
47;48;2250;130;645;325;110;30;5;1226;618;209;57;10
48;49;2306;149;660;330;110;30;5;1254;627;209;57;10
49;50;2363;148;675;340;115;30;5;1283;646;219;57;10
50;51;2422;150;695;350;115;30;5;1321;665;219;57;10
51;52;2483;164;710;355;120;30;5;1349;675;228;57;10
52;53;2545;178;725;365;120;30;5;1378;694;228;57;10
53;54;2609;175;745;375;125;30;5;1416;713;238;57;10
54;55;2674;203;760;380;125;30;5;1444;722;238;57;10
55;56;2741;203;775;390;130;35;5;1473;741;247;67;10
56;57;2809;204;795;400;135;35;5;1511;760;257;67;10
57;58;2879;236;810;405;135;35;5;1539;770;257;67;10
58;59;2951;242;830;415;140;35;5;1577;789;266;67;10
59;60;3025;268;845;425;140;35;5;1606;808;266;67;10
60;61;3101;297;860;430;145;35;5;1634;817;276;67;10
61;62;3178;317;880;440;145;35;5;1672;836;276;67;10
62;63;3258;322;895;450;150;40;10;1701;855;285;76;19
63;64;3339;336;915;460;155;40;10;1739;874;295;76;19
64;65;3423;382;930;465;155;40;10;1767;884;295;76;19
65;66;3508;410;945;475;160;40;10;1796;903;304;76;19
66;67;3596;441;965;485;160;40;10;1834;922;304;76;19
67;68;3686;464;985;495;165;40;10;1872;941;314;76;19
68;69;3778;519;1000;500;165;40;10;1900;950;314;76;19
69;70;3872;537;1020;510;170;45;10;1938;969;323;86;19
70;71;3969;576;1035;520;175;45;10;1967;988;333;86;19
71;72;4068;637;1050;525;175;45;10;1995;998;333;86;19
72;73;4170;673;1070;535;180;45;10;2033;1017;342;86;19
73;74;4274;720;1090;545;180;45;10;2071;1036;342;86;19
74;75;4381;769;1105;555;185;45;10;2100;1055;352;86;19
75;76;4491;804;1125;565;190;50;10;2138;1074;361;95;19
76;77;4603;879;1140;570;190;50;10;2166;1083;361;95;19
77;78;4718;927;1160;580;195;50;10;2204;1102;371;95;19
78;79;4836;997;1175;590;195;50;10;2233;1121;371;95;19
79;80;4957;1052;1195;600;200;50;10;2271;1140;380;95;19
80;81;5081;1109;1215;610;205;50;10;2309;1159;390;95;19
81;82;5208;1198;1230;615;205;50;10;2337;1169;390;95;19
82;83;5338;1252;1250;625;210;55;10;2375;1188;399;105;19
