Current Level;Goal Level;Total Fps;Owner Investment;P1 Reward;P2 Reward;P3 Reward;P4 Reward;P5 Reward;P1 Reward (Arc Level 80);P2 Reward (Arc Level 80);P3 Reward (Arc Level 80);P4 Reward (Arc Level 80);P5 Reward (Arc Level 80)
0;1;60;31;10;5;0;0;0;19;10;0;0;0
1;2;90;61;10;5;0;0;0;19;10;0;0;0
2;3;150;83;20;10;5;0;0;38;19;10;0;0
3;4;240;153;25;15;5;0;0;48;29;10;0;0
4;5;330;215;35;20;5;0;0;67;38;10;0;0
5;6;410;247;45;25;10;5;0;86;48;19;10;0
6;7;500;328;50;25;10;5;0;95;48;19;10;0
7;8;600;400;60;30;10;5;0;114;57;19;10;0
8;9;690;461;70;35;10;5;0;133;67;19;10;0
9;10;790;523;80;40;15;5;0;152;76;29;10;0
10;11;810;514;90;45;15;5;0;171;86;29;10;0
11;12;830;506;100;50;15;5;0;190;95;29;10;0
12;13;851;470;115;60;20;5;0;219;114;38;10;0
13;14;873;483;120;60;20;5;0;228;114;38;10;0
14;15;894;446;135;70;25;5;0;257;133;48;10;0
15;16;917;440;145;75;25;5;0;276;143;48;10;0
16;17;940;435;155;80;25;5;0;295;152;48;10;0
17;18;963;411;165;85;30;10;0;314;162;57;19;0
18;19;987;398;180;90;30;10;0;342;171;57;19;0
19;20;1012;394;190;95;30;10;0;361;181;57;19;0
20;21;1037;381;200;100;35;10;0;380;190;67;19;0
21;22;1063;359;215;110;35;10;0;409;209;67;19;0
22;23;1090;348;225;115;40;10;0;428;219;76;19;0
23;24;1117;347;235;120;40;10;0;447;228;76;19;0
24;25;1145;337;250;125;40;10;0;475;238;76;19;0
25;26;1173;327;260;130;45;10;0;494;247;86;19;0
26;27;1203;309;275;140;45;10;0;523;266;86;19;0
27;28;1233;281;285;145;50;15;5;542;276;95;29;10
28;29;1263;274;300;150;50;15;5;570;285;95;29;10
29;30;1295;277;310;155;50;15;5;589;295;95;29;10
30;31;1327;251;325;165;55;15;5;618;314;105;29;10
31;32;1361;257;335;170;55;15;5;637;323;105;29;10
32;33;1395;244;350;175;60;15;5;665;333;114;29;10
33;34;1429;250;360;180;60;15;5;684;342;114;29;10
34;35;1465;228;375;190;65;15;5;713;361;124;29;10
35;36;1502;227;390;195;65;15;5;741;371;124;29;10
36;37;1539;236;400;200;65;15;5;760;380;124;29;10
37;38;1578;209;415;210;70;20;5;789;399;133;38;10
38;39;1617;219;425;215;70;20;5;808;409;133;38;10
39;40;1658;213;440;220;75;20;5;836;418;143;38;10
40;41;1699;206;455;230;75;20;5;865;437;143;38;10
41;42;1741;210;465;235;80;20;5;884;447;152;38;10
42;43;1785;217;480;240;80;20;5;912;456;152;38;10
43;44;1830;204;495;250;85;20;5;941;475;162;38;10
44;45;1875;220;505;255;85;20;5;960;485;162;38;10
45;46;1922;230;520;260;85;20;5;988;494;162;38;10
46;47;1970;211;535;270;90;25;5;1017;513;171;48;10
47;48;2019;222;550;275;90;25;5;1045;523;171;48;10
48;49;2070;235;560;280;95;25;5;1064;532;181;48;10
49;50;2122;239;575;290;95;25;5;1093;551;181;48;10
50;51;2175;245;590;295;100;25;5;1121;561;190;48;10
51;52;2229;251;605;305;100;25;5;1150;580;190;48;10
52;53;2285;260;620;310;105;25;5;1178;589;200;48;10
53;54;2342;269;635;320;105;25;5;1207;608;200;48;10
54;55;2400;280;645;325;110;30;5;1226;618;209;57;10
