Current Level;Goal Level;Total Fps;Owner Investment;P1 Reward;P2 Reward;P3 Reward;P4 Reward;P5 Reward;P1 Reward (Arc Level 80);P2 Reward (Arc Level 80);P3 Reward (Arc Level 80);P4 Reward (Arc Level 80);P5 Reward (Arc Level 80)
0;1;50;30;5;5;0;0;0;10;10;0;0;0
1;2;60;31;10;5;0;0;0;19;10;0;0;0
2;3;120;62;15;10;5;0;0;29;19;10;0;0
3;4;190;123;20;10;5;0;0;38;19;10;0;0
4;5;240;153;25;15;5;0;0;48;29;10;0;0
5;6;320;205;35;20;5;0;0;67;38;10;0;0
6;7;380;256;40;20;5;0;0;76;38;10;0;0
7;8;460;288;50;25;10;5;0;95;48;19;10;0
8;9;530;339;55;30;10;5;0;105;57;19;10;0
9;10;600;380;65;35;10;5;0;124;67;19;10;0
10;11;615;386;70;35;10;5;0;133;67;19;10;0
11;12;631;364;80;40;15;5;0;152;76;29;10;0
12;13;647;360;85;45;15;5;0;162;86;29;10;0
13;14;663;348;95;50;15;5;0;181;95;29;10;0
14;15;679;355;100;50;15;5;0;190;95;29;10;0
15;16;696;334;110;55;20;5;0;209;105;38;10;0
16;17;714;324;120;60;20;5;0;228;114;38;10;0
17;18;732;313;130;65;20;5;0;247;124;38;10;0
18;19;750;302;135;70;25;5;0;257;133;48;10;0
19;20;769;292;145;75;25;5;0;276;143;48;10;0
20;21;788;283;155;80;25;5;0;295;152;48;10;0
21;22;807;255;165;85;30;10;0;314;162;57;19;0
22;23;828;248;175;90;30;10;0;333;171;57;19;0
23;24;848;259;180;90;30;10;0;342;171;57;19;0
24;25;869;251;190;95;30;10;0;361;181;57;19;0
25;26;891;235;200;100;35;10;0;380;190;67;19;0
26;27;913;228;210;105;35;10;0;399;200;67;19;0
27;28;936;223;220;110;35;10;0;418;209;67;19;0
28;29;960;209;230;115;40;10;0;437;219;76;19;0
29;30;984;205;240;120;40;10;0;456;228;76;19;0
30;31;1008;200;250;125;40;10;0;475;238;76;19;0
31;32;1033;196;255;130;45;10;0;485;247;86;19;0
32;33;1059;193;265;135;45;10;0;504;257;86;19;0
33;34;1086;192;275;140;45;10;0;523;266;86;19;0
34;35;1113;161;285;145;50;15;5;542;276;95;29;10
35;36;1141;161;295;150;50;15;5;561;285;95;29;10
36;37;1169;160;305;155;50;15;5;580;295;95;29;10
37;38;1198;151;315;160;55;15;5;599;304;105;29;10
38;39;1228;152;325;165;55;15;5;618;314;105;29;10
39;40;1259;155;335;170;55;15;5;637;323;105;29;10
40;41;1291;149;345;175;60;15;5;656;333;114;29;10
41;42;1323;144;360;180;60;15;5;684;342;114;29;10
42;43;1356;148;370;185;60;15;5;703;352;114;29;10
43;44;1390;144;380;190;65;15;5;722;361;124;29;10
44;45;1424;149;390;195;65;15;5;741;371;124;29;10
45;46;1460;157;400;200;65;15;5;760;380;124;29;10
46;47;1497;147;410;205;70;20;5;779;390;133;38;10
47;48;1534;156;420;210;70;20;5;798;399;133;38;10
48;49;1572;165;430;215;70;20;5;817;409;133;38;10
49;50;1612;167;440;220;75;20;5;836;418;143;38;10
50;51;1652;178;450;225;75;20;5;855;428;143;38;10
51;52;1693;162;465;235;80;20;5;884;447;152;38;10
