Current Level;Goal Level;Total Fps;Owner Investment;P1 Reward;P2 Reward;P3 Reward;P4 Reward;P5 Reward;P1 Reward (Arc Level 80);P2 Reward (Arc Level 80);P3 Reward (Arc Level 80);P4 Reward (Arc Level 80);P5 Reward (Arc Level 80)
0;1;50;30;5;5;0;0;0;10;10;0;0;0
1;2;80;51;10;5;0;0;0;19;10;0;0;0
2;3;140;82;15;10;5;0;0;29;19;10;0;0
3;4;210;123;25;15;5;0;0;48;29;10;0;0
4;5;290;194;30;15;5;0;0;57;29;10;0;0
5;6;360;236;40;20;5;0;0;76;38;10;0;0
6;7;440;277;45;25;10;5;0;86;48;19;10;0
7;8;530;339;55;30;10;5;0;105;57;19;10;0
8;9;610;390;65;35;10;5;0;124;67;19;10;0
9;10;700;471;70;35;10;5;0;133;67;19;10;0
10;11;718;451;80;40;15;5;0;152;76;29;10;0
11;12;736;440;90;45;15;5;0;171;86;29;10;0
12;13;754;430;100;50;15;5;0;190;95;29;10;0
13;14;773;411;110;55;20;5;0;209;105;38;10;0
14;15;792;402;120;60;20;5;0;228;114;38;10;0
15;16;812;402;125;65;20;5;0;238;124;38;10;0
16;17;833;376;140;70;25;5;0;266;133;48;10;0
17;18;853;367;150;75;25;5;0;285;143;48;10;0
18;19;875;370;155;80;25;5;0;295;152;48;10;0
19;20;897;336;170;85;30;10;0;323;162;57;19;0
20;21;919;330;180;90;30;10;0;342;171;57;19;0
21;22;942;324;190;95;30;10;0;361;181;57;19;0
22;23;965;309;200;100;35;10;0;380;190;67;19;0
23;24;990;305;210;105;35;10;0;399;200;67;19;0
24;25;1014;301;220;110;35;10;0;418;209;67;19;0
25;26;1040;289;230;115;40;10;0;437;219;76;19;0
26;27;1066;287;240;120;40;10;0;456;228;76;19;0
27;28;1092;284;250;125;40;10;0;475;238;76;19;0
28;29;1120;254;265;135;45;10;0;504;257;86;19;0
29;30;1148;254;275;140;45;10;0;523;266;86;19;0
30;31;1176;224;285;145;50;15;5;542;276;95;29;10
31;32;1206;226;295;150;50;15;5;561;285;95;29;10
32;33;1236;218;310;155;50;15;5;589;295;95;29;10
33;34;1267;211;320;160;55;15;5;608;304;105;29;10
34;35;1298;213;330;165;55;15;5;627;314;105;29;10
35;36;1331;218;340;170;55;15;5;646;323;105;29;10
36;37;1364;194;355;180;60;15;5;675;342;114;29;10
37;38;1398;199;365;185;60;15;5;694;352;114;29;10
38;39;1433;196;375;190;65;15;5;713;361;124;29;10
39;40;1469;194;390;195;65;15;5;741;371;124;29;10
40;41;1506;203;400;200;65;15;5;760;380;124;29;10
41;42;1543;193;410;205;70;20;5;779;390;133;38;10
42;43;1582;184;425;215;70;20;5;808;409;133;38;10
43;44;1621;185;435;220;75;20;5;827;418;143;38;10
44;45;1662;188;450;225;75;20;5;855;428;143;38;10
45;46;1703;201;460;230;75;20;5;874;437;143;38;10
46;47;1746;206;470;235;80;20;5;893;447;152;38;10
47;48;1789;201;485;245;80;20;5;922;466;152;38;10
48;49;1834;208;495;250;85;20;5;941;475;162;38;10
49;50;1880;216;510;255;85;20;5;969;485;162;38;10
50;51;1927;235;520;260;85;20;5;988;494;162;38;10
51;52;1975;216;535;270;90;25;5;1017;513;171;48;10
52;53;2025;237;545;275;90;25;5;1036;523;171;48;10
53;54;2075;240;560;280;95;25;5;1064;532;181;48;10
54;55;2127;263;570;285;95;25;5;1083;542;181;48;10
55;56;2180;259;585;295;100;25;5;1112;561;190;48;10
56;57;2235;286;595;300;100;25;5;1131;570;190;48;10
57;58;2291;304;610;305;100;25;5;1159;580;190;48;10
58;59;2348;323;620;310;105;25;5;1178;589;200;48;10
59;60;2406;333;635;320;105;25;5;1207;608;200;48;10
60;61;2467;347;645;325;110;30;5;1226;618;209;57;10
61;62;2528;371;660;330;110;30;5;1254;627;209;57;10
62;63;2591;405;670;335;110;30;5;1273;637;209;57;10
63;64;2656;412;685;345;115;30;5;1302;656;219;57;10
64;65;2723;442;700;350;115;30;5;1330;665;219;57;10
65;66;2791;472;710;355;120;30;5;1349;675;228;57;10
66;67;2860;493;725;365;120;30;5;1378;694;228;57;10
67;68;2932;527;735;370;125;30;5;1397;703;238;57;10
68;69;3005;562;750;375;125;30;5;1425;713;238;57;10
69;70;3080;570;765;385;130;35;5;1454;732;247;67;10
70;71;3157;619;775;390;130;35;5;1473;741;247;67;10
71;72;3236;660;790;395;130;35;5;1501;751;247;67;10
72;73;3317;683;805;405;135;35;5;1530;770;257;67;10
73;74;3400;738;815;410;135;35;5;1549;779;257;67;10
74;75;3485;776;830;415;140;35;5;1577;789;266;67;10
75;76;3572;815;845;425;140;35;5;1606;808;266;67;10
76;77;3661;866;855;430;145;35;5;1625;817;276;67;10
77;78;3753;920;870;435;145;35;5;1653;827;276;67;10
78;79;3847;939;885;445;150;40;10;1682;846;285;76;19
79;80;3943;1007;895;450;150;40;10;1701;855;285;76;19
80;81;4042;1068;910;455;150;40;10;1729;865;285;76;19
81;82;4143;1111;925;465;155;40;10;1758;884;295;76;19
82;83;4246;1186;935;470;155;40;10;1777;893;295;76;19
83;84;4352;1245;950;475;160;40;10;1805;903;304;76;19
84;85;4461;1306;965;485;160;40;10;1834;922;304;76;19
85;86;4573;1371;980;490;165;40;10;1862;931;314;76;19
86;87;4687;1456;990;495;165;40;10;1881;941;314;76;19
87;88;4804;1506;1005;505;170;45;10;1910;960;323;86;19
88;89;4924;1589;1020;510;170;45;10;1938;969;323;86;19
89;90;5047;1654;1035;520;175;45;10;1967;988;333;86;19
90;91;5173;1751;1045;525;175;45;10;1986;998;333;86;19
91;92;5303;1844;1060;530;175;45;10;2014;1007;333;86;19
92;93;5435;1919;1075;540;180;45;10;2043;1026;342;86;19
93;94;5571;2017;1090;545;180;45;10;2071;1036;342;86;19
94;95;5710;2098;1105;555;185;45;10;2100;1055;352;86;19
95;96;5853;2213;1115;560;185;45;10;2119;1064;352;86;19
96;97;5999;2303;1130;565;190;50;10;2147;1074;361;95;19
97;98;6149;2405;1145;575;190;50;10;2176;1093;361;95;19
98;99;6303;2512;1160;580;195;50;10;2204;1102;371;95;19
99;100;6461;2622;1175;590;195;50;10;2233;1121;371;95;19
100;101;6622;2745;1185;595;200;50;10;2252;1131;380;95;19
101;102;6788;2874;1200;600;200;50;10;2280;1140;380;95;19
102;103;6957;2985;1215;610;205;50;10;2309;1159;390;95;19
103;104;7131;3121;1230;615;205;50;10;2337;1169;390;95;19
104;105;7310;3233;1245;625;210;55;10;2366;1188;399;105;19
105;106;7492;3378;1260;630;210;55;10;2394;1197;399;105;19
106;107;7680;3508;1275;640;215;55;10;2423;1216;409;105;19
107;108;7872;3671;1285;645;215;55;10;2442;1226;409;105;19
108;109;8068;3830;1300;650;215;55;10;2470;1235;409;105;19
109;110;8270;3975;1315;660;220;55;10;2499;1254;418;105;19
110;111;8477;4144;1330;665;220;55;10;2527;1264;418;105;19
111;112;8689;4298;1345;675;225;55;10;2556;1283;428;105;19
112;113;8906;4478;1360;680;225;55;10;2584;1292;428;105;19
113;114;9129;4635;1375;690;230;60;10;2613;1311;437;114;19
114;115;9357;4825;1390;695;230;60;10;2641;1321;437;114;19
115;116;9591;5001;1405;705;235;60;10;2670;1340;447;114;19
116;117;9830;5212;1415;710;235;60;10;2689;1349;447;114;19
117;118;10076;5411;1430;715;240;60;10;2717;1359;456;114;19
118;119;10328;5615;1445;725;240;60;10;2746;1378;456;114;19
119;120;10586;5826;1460;730;245;60;10;2774;1387;466;114;19
120;121;10851;6043;1475;740;245;60;10;2803;1406;466;114;19
121;122;11122;6247;1490;745;250;65;15;2831;1416;475;124;29
122;123;11400;6477;1505;755;250;65;15;2860;1435;475;124;29
123;124;11685;6715;1520;760;255;65;15;2888;1444;485;124;29
124;125;11977;6959;1535;770;255;65;15;2917;1463;485;124;29
125;126;12277;7212;1550;775;260;65;15;2945;1473;494;124;29
