Current Level;Goal Level;Total Fps;Owner Investment;P1 Reward;P2 Reward;P3 Reward;P4 Reward;P5 Reward;P1 Reward (Arc Level 80);P2 Reward (Arc Level 80);P3 Reward (Arc Level 80);P4 Reward (Arc Level 80);P5 Reward (Arc Level 80)
0;1;50;30;5;5;0;0;0;10;10;0;0;0
1;2;90;61;10;5;0;0;0;19;10;0;0;0
2;3;150;92;15;10;5;0;0;29;19;10;0;0
3;4;220;133;25;15;5;0;0;48;29;10;0;0
4;5;310;195;35;20;5;0;0;67;38;10;0;0
5;6;380;256;40;20;5;0;0;76;38;10;0;0
6;7;480;308;50;25;10;5;0;95;48;19;10;0
7;8;560;360;60;30;10;5;0;114;57;19;10;0
8;9;650;430;65;35;10;5;0;124;67;19;10;0
9;10;740;482;75;40;15;5;0;143;76;29;10;0
10;11;759;472;85;45;15;5;0;162;86;29;10;0
11;12;778;463;95;50;15;5;0;181;95;29;10;0
12;13;797;444;105;55;20;5;0;200;105;38;10;0
13;14;817;436;115;60;20;5;0;219;114;38;10;0
14;15;838;428;125;65;20;5;0;238;124;38;10;0
15;16;859;411;135;70;25;5;0;257;133;48;10;0
16;17;880;403;145;75;25;5;0;276;143;48;10;0
17;18;902;397;155;80;25;5;0;295;152;48;10;0
18;19;925;364;170;85;30;10;0;323;162;57;19;0
19;20;948;359;180;90;30;10;0;342;171;57;19;0
20;21;971;353;190;95;30;10;0;361;181;57;19;0
21;22;996;340;200;100;35;10;0;380;190;67;19;0
22;23;1021;336;210;105;35;10;0;399;200;67;19;0
23;24;1046;304;225;115;40;10;0;428;219;76;19;0
24;25;1072;302;235;120;40;10;0;447;228;76;19;0
25;26;1099;300;245;125;40;10;0;466;238;76;19;0
26;27;1126;280;260;130;45;10;0;494;247;86;19;0
27;28;1155;280;270;135;45;10;0;513;257;86;19;0
28;29;1184;281;280;140;45;10;0;532;266;86;19;0
29;30;1213;233;295;150;50;15;5;561;285;95;29;10
30;31;1243;234;305;155;50;15;5;580;295;95;29;10
31;32;1274;227;315;160;55;15;5;599;304;105;29;10
32;33;1306;221;330;165;55;15;5;627;314;105;29;10
33;34;1339;226;340;170;55;15;5;646;323;105;29;10
34;35;1372;221;350;175;60;15;5;665;333;114;29;10
35;36;1407;208;365;185;60;15;5;694;352;114;29;10
36;37;1442;205;375;190;65;15;5;713;361;124;29;10
37;38;1478;203;390;195;65;15;5;741;371;124;29;10
38;39;1515;212;400;200;65;15;5;760;380;124;29;10
39;40;1553;184;415;210;70;20;5;789;399;133;38;10
40;41;1592;194;425;215;70;20;5;808;409;133;38;10
41;42;1631;186;440;220;75;20;5;836;418;143;38;10
42;43;1672;198;450;225;75;20;5;855;428;143;38;10
43;44;1714;183;465;235;80;20;5;884;447;152;38;10
44;45;1757;189;480;240;80;20;5;912;456;152;38;10
45;46;1801;204;490;245;80;20;5;931;466;152;38;10
46;47;1846;191;505;255;85;20;5;960;485;162;38;10
47;48;1892;209;515;260;85;20;5;979;494;162;38;10
48;49;1939;199;530;265;90;25;5;1007;504;171;48;10
49;50;1987;219;540;270;90;25;5;1026;513;171;48;10
50;51;2037;211;555;280;95;25;5;1055;532;181;48;10
51;52;2088;224;570;285;95;25;5;1083;542;181;48;10
52;53;2140;248;580;290;95;25;5;1102;551;181;48;10
53;54;2194;245;595;300;100;25;5;1131;570;190;48;10
54;55;2249;262;610;305;100;25;5;1159;580;190;48;10
55;56;2305;280;620;310;105;25;5;1178;589;200;48;10
56;57;2362;289;635;320;105;25;5;1207;608;200;48;10
57;58;2421;292;650;325;110;30;5;1235;618;209;57;10
58;59;2482;305;665;335;110;30;5;1264;637;209;57;10
59;60;2544;329;675;340;115;30;5;1283;646;219;57;10
60;61;2608;355;690;345;115;30;5;1311;656;219;57;10
61;62;2673;363;705;355;120;30;5;1340;675;228;57;10
62;63;2740;402;715;360;120;30;5;1359;684;228;57;10
63;64;2808;432;730;365;120;30;5;1387;694;228;57;10
64;65;2878;444;745;375;125;30;5;1416;713;238;57;10
65;66;2950;479;760;380;125;30;5;1444;722;238;57;10
66;67;3024;486;775;390;130;35;5;1473;741;247;67;10
67;68;3099;532;785;395;130;35;5;1492;751;247;67;10
68;69;3177;563;800;400;135;35;5;1520;760;257;67;10
69;70;3256;594;815;410;135;35;5;1549;779;257;67;10
70;71;3338;629;830;415;140;35;5;1577;789;266;67;10
71;72;3421;684;840;420;140;35;5;1596;798;266;67;10
72;73;3507;712;855;430;145;35;5;1625;817;276;67;10
73;74;3594;761;870;435;145;35;5;1653;827;276;67;10
74;75;3684;776;885;445;150;40;10;1682;846;285;76;19
75;76;3776;831;900;450;150;40;10;1710;855;285;76;19
76;77;3871;868;915;460;155;40;10;1739;874;295;76;19
77;78;3967;926;930;465;155;40;10;1767;884;295;76;19
78;79;4067;998;940;470;155;40;10;1786;893;295;76;19
79;80;4168;1042;955;480;160;40;10;1815;912;304;76;19
80;81;4272;1108;970;485;160;40;10;1843;922;304;76;19
81;82;4379;1157;985;495;165;40;10;1872;941;314;76;19
82;83;4489;1230;1000;500;165;40;10;1900;950;314;76;19
83;84;4601;1275;1015;510;170;45;10;1929;969;323;86;19
84;85;4716;1352;1030;515;170;45;10;1957;979;323;86;19
85;86;4834;1412;1045;525;175;45;10;1986;998;333;86;19
86;87;4955;1496;1060;530;175;45;10;2014;1007;333;86;19
87;88;5079;1563;1075;540;180;45;10;2043;1026;342;86;19
88;89;5205;1651;1090;545;180;45;10;2071;1036;342;86;19
89;90;5336;1744;1100;550;185;45;10;2090;1045;352;86;19
90;91;5469;1829;1115;560;185;45;10;2119;1064;352;86;19
91;92;5606;1910;1130;565;190;50;10;2147;1074;361;95;19
92;93;5746;2002;1145;575;190;50;10;2176;1093;361;95;19
93;94;5889;2098;1160;580;195;50;10;2204;1102;371;95;19
94;95;6037;2198;1175;590;195;50;10;2233;1121;371;95;19
95;96;6188;2302;1190;595;200;50;10;2261;1131;380;95;19
96;97;6342;2408;1205;605;200;50;10;2290;1150;380;95;19
97;98;6501;2520;1220;610;205;50;10;2318;1159;390;95;19
98;99;6663;2634;1235;620;205;50;10;2347;1178;390;95;19
99;100;6830;2744;1250;625;210;55;10;2375;1188;399;105;19
100;101;7001;2867;1265;635;210;55;10;2404;1207;399;105;19
101;102;7176;2995;1280;640;215;55;10;2432;1216;409;105;19
102;103;7355;3126;1295;650;215;55;10;2461;1235;409;105;19
103;104;7539;3263;1310;655;220;55;10;2489;1245;418;105;19
104;105;7727;3403;1325;665;220;55;10;2518;1264;418;105;19
105;106;7920;3529;1345;675;225;55;10;2556;1283;428;105;19
106;107;8118;3699;1355;680;225;55;10;2575;1292;428;105;19
107;108;8321;3827;1375;690;230;60;10;2613;1311;437;114;19
108;109;8529;3997;1390;695;230;60;10;2641;1321;437;114;19
109;110;8743;4153;1405;705;235;60;10;2670;1340;447;114;19
110;111;8961;4334;1420;710;235;60;10;2698;1349;447;114;19
111;112;9185;4501;1435;720;240;60;10;2727;1368;456;114;19
112;113;9415;4693;1450;725;240;60;10;2755;1378;456;114;19
113;114;9650;4870;1465;735;245;60;10;2784;1397;466;114;19
114;115;9891;5074;1480;740;245;60;10;2812;1406;466;114;19
115;116;10139;5245;1495;750;250;65;15;2841;1425;475;124;29
116;117;10392;5460;1510;755;250;65;15;2869;1435;475;124;29
117;118;10652;5653;1530;765;255;65;15;2907;1454;485;124;29
118;119;10918;5862;1545;775;260;65;15;2936;1473;494;124;29
119;120;11191;6098;1560;780;260;65;15;2964;1482;494;124;29
120;121;11471;6320;1575;790;265;65;15;2993;1501;504;124;29
