Current Level;Goal Level;Total Fps;Owner Investment;P1 Reward;P2 Reward;P3 Reward;P4 Reward;P5 Reward;P1 Reward (Arc Level 80);P2 Reward (Arc Level 80);P3 Reward (Arc Level 80);P4 Reward (Arc Level 80);P5 Reward (Arc Level 80)
0;1;40;20;5;5;0;0;0;10;10;0;0;0
1;2;60;31;10;5;0;0;0;19;10;0;0;0
2;3;120;62;15;10;5;0;0;29;19;10;0;0
3;4;170;103;20;10;5;0;0;38;19;10;0;0
4;5;220;133;25;15;5;0;0;48;29;10;0;0
5;6;290;194;30;15;5;0;0;57;29;10;0;0
6;7;360;236;40;20;5;0;0;76;38;10;0;0
7;8;420;257;45;25;10;5;0;86;48;19;10;0
8;9;490;318;50;25;10;5;0;95;48;19;10;0
9;10;550;350;60;30;10;5;0;114;57;19;10;0
10;11;564;344;65;35;10;5;0;124;67;19;10;0
11;12;578;349;70;35;10;5;0;133;67;19;10;0
12;13;593;326;80;40;15;5;0;152;76;29;10;0
13;14;608;321;85;45;15;5;0;162;86;29;10;0
14;15;623;308;95;50;15;5;0;181;95;29;10;0
15;16;638;285;105;55;20;5;0;200;105;38;10;0
16;17;654;292;110;55;20;5;0;209;105;38;10;0
17;18;671;281;120;60;20;5;0;228;114;38;10;0
18;19;687;277;125;65;20;5;0;238;124;38;10;0
19;20;705;257;135;70;25;5;0;257;133;48;10;0
20;21;722;245;145;75;25;5;0;276;143;48;10;0
21;22;740;254;150;75;25;5;0;285;143;48;10;0
22;23;759;245;160;80;25;5;0;304;152;48;10;0
23;24;778;217;170;85;30;10;0;323;162;57;19;0
24;25;797;217;175;90;30;10;0;333;171;57;19;0
25;26;817;208;185;95;30;10;0;352;181;57;19;0
26;27;837;190;195;100;35;10;0;371;190;67;19;0
27;28;858;202;200;100;35;10;0;380;190;67;19;0
28;29;880;195;210;105;35;10;0;399;200;67;19;0
29;30;902;189;220;110;35;10;0;418;209;67;19;0
30;31;924;173;230;115;40;10;0;437;219;76;19;0
31;32;947;168;240;120;40;10;0;456;228;76;19;0
32;33;971;172;245;125;40;10;0;466;238;76;19;0
33;34;995;158;255;130;45;10;0;485;247;86;19;0
34;35;1020;154;265;135;45;10;0;504;257;86;19;0
35;36;1046;152;275;140;45;10;0;523;266;86;19;0
36;37;1072;120;285;145;50;15;5;542;276;95;29;10
37;38;1099;138;290;145;50;15;5;551;276;95;29;10
38;39;1126;137;300;150;50;15;5;570;285;95;29;10
39;40;1154;136;310;155;50;15;5;589;295;95;29;10
40;41;1183;127;320;160;55;15;5;608;304;105;29;10
41;42;1213;128;330;165;55;15;5;627;314;105;29;10
42;43;1243;130;340;170;55;15;5;646;323;105;29;10
43;44;1274;123;350;175;60;15;5;665;333;114;29;10
44;45;1306;127;360;180;60;15;5;684;342;114;29;10
45;46;1338;130;370;185;60;15;5;703;352;114;29;10
46;47;1372;126;380;190;65;15;5;722;361;124;29;10
47;48;1406;131;390;195;65;15;5;741;371;124;29;10
