Current Level;Goal Level;Total Fps;Owner Investment;P1 Reward;P2 Reward;P3 Reward;P4 Reward;P5 Reward;P1 Reward (Arc Level 80);P2 Reward (Arc Level 80);P3 Reward (Arc Level 80);P4 Reward (Arc Level 80);P5 Reward (Arc Level 80)
0;1;80;51;10;5;0;0;0;19;10;0;0;0
1;2;130;72;15;10;5;0;0;29;19;10;0;0
2;3;240;153;25;15;5;0;0;48;29;10;0;0
3;4;350;235;35;20;5;0;0;67;38;10;0;0
4;5;470;298;50;25;10;5;0;95;48;19;10;0
5;6;610;390;65;35;10;5;0;124;67;19;10;0
6;7;740;482;75;40;15;5;0;143;76;29;10;0
7;8;880;584;90;45;15;5;0;171;86;29;10;0
8;9;1020;667;105;55;20;5;0;200;105;38;10;0
9;10;1160;770;120;60;20;5;0;228;114;38;10;0
10;11;1189;741;135;70;25;5;0;257;133;48;10;0
11;12;1219;733;150;75;25;5;0;285;143;48;10;0
12;13;1250;698;165;85;30;10;0;314;162;57;19;0
13;14;1281;692;180;90;30;10;0;342;171;57;19;0
14;15;1313;666;195;100;35;10;0;371;190;67;19;0
15;16;1346;661;210;105;35;10;0;399;200;67;19;0
16;17;1379;628;230;115;40;10;0;437;219;76;19;0
17;18;1414;615;245;125;40;10;0;466;238;76;19;0
18;19;1449;603;260;130;45;10;0;494;247;86;19;0
19;20;1485;582;280;140;45;10;0;532;266;86;19;0
20;21;1523;543;295;150;50;15;5;561;285;95;29;10
21;22;1561;543;310;155;50;15;5;589;295;95;29;10
22;23;1600;515;330;165;55;15;5;627;314;105;29;10
23;24;1640;489;350;175;60;15;5;665;333;114;29;10
24;25;1681;482;365;185;60;15;5;694;352;114;29;10
25;26;1723;457;385;195;65;15;5;732;371;124;29;10
26;27;1766;463;400;200;65;15;5;760;380;124;29;10
27;28;1810;432;420;210;70;20;5;798;399;133;38;10
28;29;1855;410;440;220;75;20;5;836;418;143;38;10
29;30;1901;408;455;230;75;20;5;865;437;143;38;10
30;31;1949;390;475;240;80;20;5;903;456;152;38;10
31;32;1998;372;495;250;85;20;5;941;475;162;38;10
32;33;2047;383;510;255;85;20;5;969;485;162;38;10
33;34;2099;359;530;265;90;25;5;1007;504;171;48;10
