Current Level;Goal Level;Total Fps;Owner Investment;P1 Reward;P2 Reward;P3 Reward;P4 Reward;P5 Reward;P1 Reward (Arc Level 80);P2 Reward (Arc Level 80);P3 Reward (Arc Level 80);P4 Reward (Arc Level 80);P5 Reward (Arc Level 80)
0;1;100;71;10;5;0;0;0;19;10;0;0;0
1;2;140;82;15;10;5;0;0;29;19;10;0;0
2;3;280;184;30;15;5;0;0;57;29;10;0;0
3;4;400;276;40;20;5;0;0;76;38;10;0;0
4;5;560;360;60;30;10;5;0;114;57;19;10;0
5;6;700;471;70;35;10;5;0;133;67;19;10;0
6;7;850;554;90;45;15;5;0;171;86;29;10;0
7;8;1020;667;105;55;20;5;0;200;105;38;10;0
8;9;1180;790;120;60;20;5;0;228;114;38;10;0
9;10;1350;902;135;70;25;5;0;257;133;48;10;0
10;11;1384;879;155;80;25;5;0;295;152;48;10;0
11;12;1419;858;170;85;30;10;0;323;162;57;19;0
12;13;1454;836;190;95;30;10;0;361;181;57;19;0
13;14;1491;806;210;105;35;10;0;399;200;67;19;0
14;15;1528;786;225;115;40;10;0;428;219;76;19;0
15;16;1566;767;245;125;40;10;0;466;238;76;19;0
16;17;1605;739;265;135;45;10;0;504;257;86;19;0
17;18;1645;693;285;145;50;15;5;542;276;95;29;10
18;19;1686;677;305;155;50;15;5;580;295;95;29;10
19;20;1729;653;325;165;55;15;5;618;314;105;29;10
20;21;1772;659;340;170;55;15;5;646;323;105;29;10
21;22;1816;637;360;180;60;15;5;684;342;114;29;10
22;23;1861;615;380;190;65;15;5;722;361;124;29;10
23;24;1908;567;405;205;70;20;5;770;390;133;38;10
24;25;1956;558;425;215;70;20;5;808;409;133;38;10
25;26;2005;540;445;225;75;20;5;846;428;143;38;10
26;27;2055;524;465;235;80;20;5;884;447;152;38;10
27;28;2106;518;485;245;80;20;5;922;466;152;38;10
28;29;2159;504;505;255;85;20;5;960;485;162;38;10
29;30;2213;473;530;265;90;25;5;1007;504;171;48;10
30;31;2268;471;550;275;90;25;5;1045;523;171;48;10
31;32;2325;461;570;285;95;25;5;1083;542;181;48;10
32;33;2383;434;595;300;100;25;5;1131;570;190;48;10
33;34;2442;426;615;310;105;25;5;1169;589;200;48;10
34;35;2503;430;635;320;105;25;5;1207;608;200;48;10
35;36;2566;409;660;330;110;30;5;1254;627;209;57;10
36;37;2630;406;680;340;115;30;5;1292;646;219;57;10
37;38;2696;386;705;355;120;30;5;1340;675;228;57;10
38;39;2763;396;725;365;120;30;5;1378;694;228;57;10
39;40;2832;389;750;375;125;30;5;1425;713;238;57;10
40;41;2903;384;770;385;130;35;5;1463;732;247;67;10
41;42;2976;371;795;400;135;35;5;1511;760;257;67;10
42;43;3050;379;820;410;135;35;5;1558;779;257;67;10
43;44;3126;389;840;420;140;35;5;1596;798;266;67;10
44;45;3204;380;865;435;145;35;5;1644;827;276;67;10
45;46;3284;367;890;445;150;40;10;1691;846;285;76;19
46;47;3367;393;910;455;150;40;10;1729;865;285;76;19
47;48;3451;391;935;470;155;40;10;1777;893;295;76;19
48;49;3537;402;960;480;160;40;10;1824;912;304;76;19
49;50;3625;423;980;490;165;40;10;1862;931;314;76;19
50;51;3716;418;1005;505;170;45;10;1910;960;323;86;19
51;52;3809;445;1030;515;170;45;10;1957;979;323;86;19
52;53;3904;454;1055;530;175;45;10;2005;1007;333;86;19
53;54;4002;477;1080;540;180;45;10;2052;1026;342;86;19
54;55;4102;510;1100;550;185;45;10;2090;1045;352;86;19
55;56;4204;517;1125;565;190;50;10;2138;1074;361;95;19
56;57;4309;556;1150;575;190;50;10;2185;1093;361;95;19
