Current Level;Goal Level;Total Fps;Owner Investment;P1 Reward;P2 Reward;P3 Reward;P4 Reward;P5 Reward;P1 Reward (Arc Level 80);P2 Reward (Arc Level 80);P3 Reward (Arc Level 80);P4 Reward (Arc Level 80);P5 Reward (Arc Level 80)
0;1;90;61;10;5;0;0;0;19;10;0;0;0
1;2;130;72;15;10;5;0;0;29;19;10;0;0
2;3;240;153;25;15;5;0;0;48;29;10;0;0
3;4;370;246;40;20;5;0;0;76;38;10;0;0
4;5;490;318;50;25;10;5;0;95;48;19;10;0
5;6;630;410;65;35;10;5;0;124;67;19;10;0
6;7;770;503;80;40;15;5;0;152;76;29;10;0
7;8;910;595;95;50;15;5;0;181;95;29;10;0
8;9;1060;698;110;55;20;5;0;209;105;38;10;0
9;10;1210;800;125;65;20;5;0;238;124;38;10;0
10;11;1241;784;140;70;25;5;0;266;133;48;10;0
11;12;1272;767;155;80;25;5;0;295;152;48;10;0
12;13;1304;743;170;85;30;10;0;323;162;57;19;0
13;14;1336;727;185;95;30;10;0;352;181;57;19;0
14;15;1370;694;205;105;35;10;0;390;200;67;19;0
15;16;1404;691;220;110;35;10;0;418;209;67;19;0
16;17;1439;669;235;120;40;10;0;447;228;76;19;0
17;18;1475;638;255;130;45;10;0;485;247;86;19;0
18;19;1512;637;270;135;45;10;0;513;257;86;19;0
19;20;1549;588;290;145;50;15;5;551;276;95;29;10
20;21;1588;579;305;155;50;15;5;580;295;95;29;10
21;22;1628;552;325;165;55;15;5;618;314;105;29;10
22;23;1668;526;345;175;60;15;5;656;333;114;29;10
23;24;1710;531;360;180;60;15;5;684;342;114;29;10
24;25;1753;507;380;190;65;15;5;722;361;124;29;10
25;26;1797;494;400;200;65;15;5;760;380;124;29;10
26;27;1842;473;415;210;70;20;5;789;399;133;38;10
27;28;1888;452;435;220;75;20;5;827;418;143;38;10
28;29;1935;442;455;230;75;20;5;865;437;143;38;10
29;30;1983;424;475;240;80;20;5;903;456;152;38;10
30;31;2033;407;495;250;85;20;5;941;475;162;38;10
31;32;2084;420;510;255;85;20;5;969;485;162;38;10
32;33;2136;396;530;265;90;25;5;1007;504;171;48;10
33;34;2189;392;550;275;90;25;5;1045;523;171;48;10
34;35;2244;380;570;285;95;25;5;1083;542;181;48;10
35;36;2300;370;590;295;100;25;5;1121;561;190;48;10
36;37;2357;370;610;305;100;25;5;1159;580;190;48;10
37;38;2416;362;630;315;105;25;5;1197;599;200;48;10
38;39;2477;348;650;325;110;30;5;1235;618;209;57;10
39;40;2539;353;670;335;110;30;5;1273;637;209;57;10
40;41;2602;349;690;345;115;30;5;1311;656;219;57;10
41;42;2667;329;715;360;120;30;5;1359;684;228;57;10
42;43;2734;329;735;370;125;30;5;1397;703;238;57;10
43;44;2802;340;755;380;125;30;5;1435;722;238;57;10
44;45;2872;334;775;390;130;35;5;1473;741;247;67;10
45;46;2944;339;795;400;135;35;5;1511;760;257;67;10
46;47;3017;355;815;410;135;35;5;1549;779;257;67;10
47;48;3093;356;840;420;140;35;5;1596;798;266;67;10
48;49;3170;366;860;430;145;35;5;1634;817;276;67;10
49;50;3249;388;880;440;145;35;5;1672;836;276;67;10
50;51;3331;386;900;450;150;40;10;1710;855;285;76;19
51;52;3414;382;925;465;155;40;10;1758;884;295;76;19
52;53;3499;401;945;475;160;40;10;1796;903;304;76;19
53;54;3587;432;965;485;160;40;10;1834;922;304;76;19
54;55;3676;445;990;495;165;40;10;1881;941;314;76;19
55;56;3768;461;1010;505;170;45;10;1919;960;323;86;19
56;57;3862;498;1030;515;170;45;10;1957;979;323;86;19
57;58;3959;509;1055;530;175;45;10;2005;1007;333;86;19
58;59;4058;542;1075;540;180;45;10;2043;1026;342;86;19
59;60;4159;576;1095;550;185;45;10;2081;1045;352;86;19
60;61;4263;614;1120;560;185;45;10;2128;1064;352;86;19
61;62;4370;646;1140;570;190;50;10;2166;1083;361;95;19
62;63;4479;668;1165;585;195;50;10;2214;1112;371;95;19
63;64;4591;714;1185;595;200;50;10;2252;1131;380;95;19
64;65;4706;763;1210;605;200;50;10;2299;1150;380;95;19
65;66;4824;814;1230;615;205;50;10;2337;1169;390;95;19
66;67;4944;839;1255;630;210;55;10;2385;1197;399;105;19
67;68;5068;896;1275;640;215;55;10;2423;1216;409;105;19
68;69;5194;956;1300;650;215;55;10;2470;1235;409;105;19
69;70;5324;1020;1320;660;220;55;10;2508;1254;418;105;19
70;71;5457;1066;1345;675;225;55;10;2556;1283;428;105;19
71;72;5594;1128;1365;685;230;60;10;2594;1302;437;114;19
72;73;5734;1202;1390;695;230;60;10;2641;1321;437;114;19
73;74;5877;1259;1415;710;235;60;10;2689;1349;447;114;19
74;75;6024;1340;1435;720;240;60;10;2727;1368;456;114;19
75;76;6174;1414;1460;730;245;60;10;2774;1387;466;114;19
76;77;6329;1463;1485;745;250;65;15;2822;1416;475;124;29
77;78;6487;1564;1505;755;250;65;15;2860;1435;475;124;29
78;79;6649;1650;1530;765;255;65;15;2907;1454;485;124;29
79;80;6815;1731;1555;780;260;65;15;2955;1482;494;124;29
80;81;6986;1835;1575;790;265;65;15;2993;1501;504;124;29
81;82;7160;1943;1600;800;265;65;15;3040;1520;504;124;29
82;83;7339;2027;1625;815;270;70;15;3088;1549;513;133;29
83;84;7523;2144;1645;825;275;70;15;3126;1568;523;133;29
84;85;7711;2257;1670;835;280;70;15;3173;1587;532;133;29
85;86;7904;2364;1695;850;285;70;15;3221;1615;542;133;29
86;87;8101;2495;1720;860;285;70;15;3268;1634;542;133;29
87;88;8304;2602;1745;875;290;75;15;3316;1663;551;143;29
88;89;8511;2742;1765;885;295;75;15;3354;1682;561;143;29
89;90;8724;2880;1790;895;300;75;15;3401;1701;570;143;29
90;91;8942;3012;1815;910;305;75;15;3449;1729;580;143;29
91;92;9166;3170;1840;920;305;75;15;3496;1748;580;143;29
92;93;9395;3324;1860;930;310;80;15;3534;1767;589;152;29
93;94;9630;3472;1885;945;315;80;15;3582;1796;599;152;29
94;95;9870;3637;1910;955;320;80;15;3629;1815;608;152;29
95;96;10117;3798;1935;970;325;80;15;3677;1843;618;152;29
96;97;10370;3985;1960;980;325;80;15;3724;1862;618;152;29
97;98;10629;4148;1985;995;330;85;15;3772;1891;627;162;29
98;99;10895;4338;2010;1005;335;85;15;3819;1910;637;162;29
99;100;11167;4544;2030;1015;340;85;15;3857;1929;646;162;29
100;101;11447;4738;2055;1030;345;85;15;3905;1957;656;162;29
101;102;11733;4958;2080;1040;345;85;15;3952;1976;656;162;29
102;103;12026;5147;2105;1055;350;90;20;4000;2005;665;171;38
103;104;12327;5372;2130;1065;355;90;20;4047;2024;675;171;38
104;105;12635;5595;2155;1080;360;90;20;4095;2052;684;171;38
105;106;12951;5835;2180;1090;365;90;20;4142;2071;694;171;38
106;107;13274;6062;2205;1105;370;95;20;4190;2100;703;181;38
107;108;13606;6328;2230;1115;370;95;20;4237;2119;703;181;38
108;109;13946;6582;2255;1130;375;95;20;4285;2147;713;181;38
109;110;14295;6856;2280;1140;380;95;20;4332;2166;722;181;38
110;111;14652;7126;2305;1155;385;95;20;4380;2195;732;181;38
111;112;15019;7409;2330;1165;390;100;20;4427;2214;741;190;38
112;113;15394;7698;2355;1180;395;100;20;4475;2242;751;190;38
113;114;15779;8017;2380;1190;395;100;20;4522;2261;751;190;38
114;115;16174;8326;2405;1205;400;100;20;4570;2290;760;190;38
115;116;16578;8654;2430;1215;405;100;20;4617;2309;770;190;38
116;117;16992;8973;2455;1230;410;105;20;4665;2337;779;200;38
117;118;17417;9322;2480;1240;415;105;20;4712;2356;789;200;38
118;119;17852;9671;2505;1255;420;105;20;4760;2385;798;200;38
119;120;18299;10052;2530;1265;420;105;20;4807;2404;798;200;38
120;121;18756;10423;2555;1280;425;105;20;4855;2432;808;200;38
121;122;19225;10808;2580;1290;430;110;20;4902;2451;817;209;38
122;123;19706;11193;2610;1305;435;110;20;4959;2480;827;209;38
123;124;20198;11600;2635;1320;440;110;20;5007;2508;836;209;38
124;125;20703;12029;2660;1330;445;110;20;5054;2527;846;209;38
125;126;21221;12441;2685;1345;450;115;25;5102;2556;855;219;48
126;127;21751;12905;2710;1355;450;115;25;5149;2575;855;219;48
127;128;22295;13363;2735;1370;455;115;25;5197;2603;865;219;48
128;129;22853;13846;2760;1380;460;115;25;5244;2622;874;219;48
129;130;23424;14330;2785;1395;465;115;25;5292;2651;884;219;48
130;131;24009;14812;2815;1410;470;120;25;5349;2679;893;228;48
131;132;24610;15337;2840;1420;475;120;25;5396;2698;903;228;48
132;133;25225;15866;2865;1435;480;120;25;5444;2727;912;228;48
133;134;25856;16431;2890;1445;480;120;25;5491;2746;912;228;48
134;135;26502;16991;2915;1460;485;120;25;5539;2774;922;228;48
135;136;27164;17548;2945;1475;490;125;25;5596;2803;931;238;48
136;137;27844;18152;2970;1485;495;125;25;5643;2822;941;238;48
137;138;28540;18763;2995;1500;500;125;25;5691;2850;950;238;48
138;139;29253;19400;3020;1510;505;125;25;5738;2869;960;238;48
139;140;29984;20027;3050;1525;510;130;25;5795;2898;969;247;48
140;141;30734;20691;3075;1540;515;130;25;5843;2926;979;247;48
141;142;31502;21393;3100;1550;515;130;25;5890;2945;979;247;48
142;143;32290;22095;3125;1565;520;130;25;5938;2974;988;247;48
143;144;33097;22807;3155;1580;525;130;25;5995;3002;998;247;48
144;145;33925;23550;3180;1590;530;135;25;6042;3021;1007;257;48
145;146;34773;24311;3205;1605;535;135;25;6090;3050;1017;257;48
146;147;35642;25105;3230;1615;540;135;25;6137;3069;1026;257;48
147;148;36533;25901;3260;1630;545;135;25;6194;3097;1036;257;48
148;149;37446;26710;3285;1645;550;140;30;6242;3126;1045;266;57
149;150;38382;27580;3310;1655;550;140;30;6289;3145;1045;266;57
150;151;39342;28445;3340;1670;555;140;30;6346;3173;1055;266;57
151;152;40325;29342;3365;1685;560;140;30;6394;3202;1064;266;57
152;153;41334;30275;3390;1695;565;140;30;6441;3221;1074;266;57
153;154;42367;31213;3415;1710;570;145;30;6489;3249;1083;276;57
154;155;43426;32176;3445;1725;575;145;30;6546;3278;1093;276;57
155;156;44512;33187;3470;1735;580;145;30;6593;3297;1102;276;57
156;157;45625;34205;3500;1750;585;145;30;6650;3325;1112;276;57
157;158;46765;35250;3525;1765;590;150;30;6698;3354;1121;285;57
