Current Level;Goal Level;Total Fps;Owner Investment;P1 Reward;P2 Reward;P3 Reward;P4 Reward;P5 Reward;P1 Reward (Arc Level 80);P2 Reward (Arc Level 80);P3 Reward (Arc Level 80);P4 Reward (Arc Level 80);P5 Reward (Arc Level 80)
0;1;90;61;10;5;0;0;0;19;10;0;0;0
1;2;140;82;15;10;5;0;0;29;19;10;0;0
2;3;250;163;25;15;5;0;0;48;29;10;0;0
3;4;380;256;40;20;5;0;0;76;38;10;0;0
4;5;520;329;55;30;10;5;0;105;57;19;10;0
5;6;650;421;70;35;10;5;0;133;67;19;10;0
6;7;800;533;80;40;15;5;0;152;76;29;10;0
7;8;940;625;95;50;15;5;0;181;95;29;10;0
8;9;1110;729;115;60;20;5;0;219;114;38;10;0
9;10;1250;840;125;65;20;5;0;238;124;38;10;0
10;11;1282;805;145;75;25;5;0;276;143;48;10;0
11;12;1314;800;160;80;25;5;0;304;152;48;10;0
12;13;1347;767;175;90;30;10;0;333;171;57;19;0
13;14;1380;733;195;100;35;10;0;371;190;67;19;0
14;15;1415;730;210;105;35;10;0;399;200;67;19;0
15;16;1450;699;230;115;40;10;0;437;219;76;19;0
16;17;1486;687;245;125;40;10;0;466;238;76;19;0
17;18;1524;658;265;135;45;10;0;504;257;86;19;0
18;19;1562;659;280;140;45;10;0;532;266;86;19;0
19;20;1601;612;300;150;50;15;5;570;285;95;29;10
20;21;1641;585;320;160;55;15;5;608;304;105;29;10
21;22;1682;578;335;170;55;15;5;637;323;105;29;10
22;23;1724;554;355;180;60;15;5;675;342;114;29;10
23;24;1767;530;375;190;65;15;5;713;361;124;29;10
24;25;1811;517;395;200;65;15;5;751;380;124;29;10
25;26;1856;487;415;210;70;20;5;789;399;133;38;10
26;27;1903;467;435;220;75;20;5;827;418;143;38;10
27;28;1950;457;455;230;75;20;5;865;437;143;38;10
28;29;1999;459;470;235;80;20;5;893;447;152;38;10
29;30;2049;452;490;245;80;20;5;931;466;152;38;10
30;31;2100;436;510;255;85;20;5;969;485;162;38;10
31;32;2152;393;535;270;90;25;5;1017;513;171;48;10
32;33;2206;409;550;275;90;25;5;1045;523;171;48;10
33;34;2261;378;575;290;95;25;5;1093;551;181;48;10
