Current Level;Goal Level;Total Fps;Owner Investment;P1 Reward;P2 Reward;P3 Reward;P4 Reward;P5 Reward;P1 Reward (Arc Level 80);P2 Reward (Arc Level 80);P3 Reward (Arc Level 80);P4 Reward (Arc Level 80);P5 Reward (Arc Level 80)
0;1;70;41;10;5;0;0;0;19;10;0;0;0
1;2;110;52;15;10;5;0;0;29;19;10;0;0
2;3;200;113;25;15;5;0;0;48;29;10;0;0
3;4;290;175;35;20;5;0;0;67;38;10;0;0
4;5;400;237;45;25;10;5;0;86;48;19;10;0
5;6;510;310;60;30;10;5;0;114;57;19;10;0
6;7;620;391;70;35;10;5;0;133;67;19;10;0
7;8;740;453;85;45;15;5;0;162;86;29;10;0
8;9;860;545;95;50;15;5;0;181;95;29;10;0
9;10;970;608;110;55;20;5;0;209;105;38;10;0
10;11;995;605;120;60;20;5;0;228;114;38;10;0
11;12;1020;572;135;70;25;5;0;257;133;48;10;0
12;13;1045;559;150;75;25;5;0;285;143;48;10;0
13;14;1071;519;165;85;30;10;0;314;162;57;19;0
14;15;1098;509;180;90;30;10;0;342;171;57;19;0
15;16;1125;478;195;100;35;10;0;371;190;67;19;0
16;17;1154;469;210;105;35;10;0;399;200;67;19;0
17;18;1182;440;225;115;40;10;0;428;219;76;19;0
18;19;1212;433;240;120;40;10;0;456;228;76;19;0
19;20;1242;405;255;130;45;10;0;485;247;86;19;0
20;21;1273;398;270;135;45;10;0;513;257;86;19;0
21;22;1305;344;290;145;50;15;5;551;276;95;29;10
22;23;1338;329;305;155;50;15;5;580;295;95;29;10
23;24;1371;315;320;160;55;15;5;608;304;105;29;10
24;25;1405;301;335;170;55;15;5;637;323;105;29;10
25;26;1440;270;355;180;60;15;5;675;342;114;29;10
26;27;1476;268;370;185;60;15;5;703;352;114;29;10
27;28;1513;247;385;195;65;15;5;732;371;124;29;10
28;29;1551;210;405;205;70;20;5;770;390;133;38;10
29;30;1590;212;420;210;70;20;5;798;399;133;38;10
30;31;1630;194;435;220;75;20;5;827;418;143;38;10
31;32;1670;177;455;230;75;20;5;865;437;143;38;10
32;33;1712;172;470;235;80;20;5;893;447;152;38;10
33;34;1755;158;490;245;80;20;5;931;466;152;38;10
34;35;1799;144;505;255;85;20;5;960;485;162;38;10
35;36;1844;113;525;265;90;25;5;998;504;171;48;10
36;37;1890;122;540;270;90;25;5;1026;513;171;48;10
37;38;1937;102;560;280;95;25;5;1064;532;181;48;10
38;39;1986;103;575;290;95;25;5;1093;551;181;48;10
39;40;2035;86;595;300;100;25;5;1131;570;190;48;10
40;41;2086;70;615;310;105;25;5;1169;589;200;48;10
41;42;2138;84;630;315;105;25;5;1197;599;200;48;10
42;43;2192;63;650;325;110;30;5;1235;618;209;57;10
43;44;2246;60;670;335;110;30;5;1273;637;209;57;10
44;45;2303;59;685;345;115;30;5;1302;656;219;57;10
45;46;2360;50;705;355;120;30;5;1340;675;228;57;10
46;47;2419;52;725;365;120;30;5;1378;694;228;57;10
47;48;2480;66;740;370;125;30;5;1406;703;238;57;10
48;49;2541;70;760;380;125;30;5;1444;722;238;57;10
49;50;2605;58;780;390;130;35;5;1482;741;247;67;10
50;51;2670;56;800;400;135;35;5;1520;760;257;67;10
51;52;2737;75;815;410;135;35;5;1549;779;257;67;10
52;53;2805;77;835;420;140;35;5;1587;798;266;67;10
53;54;2875;80;855;430;145;35;5;1625;817;276;67;10
54;55;2947;95;875;440;145;35;5;1663;836;276;67;10
55;56;3021;85;895;450;150;40;10;1701;855;285;76;19
56;57;3096;93;915;460;155;40;10;1739;874;295;76;19
57;58;3174;133;930;465;155;40;10;1767;884;295;76;19
58;59;3253;146;950;475;160;40;10;1805;903;304;76;19
59;60;3334;170;970;485;160;40;10;1843;922;304;76;19
60;61;3418;187;990;495;165;40;10;1881;941;314;76;19
61;62;3503;196;1010;505;170;45;10;1919;960;323;86;19
62;63;3591;227;1030;515;170;45;10;1957;979;323;86;19
63;64;3681;250;1050;525;175;45;10;1995;998;333;86;19
64;65;3773;276;1070;535;180;45;10;2033;1017;342;86;19
65;66;3867;313;1090;545;180;45;10;2071;1036;342;86;19
66;67;3964;343;1110;555;185;45;10;2109;1055;352;86;19
67;68;4063;367;1130;565;190;50;10;2147;1074;361;95;19
68;69;4164;411;1150;575;190;50;10;2185;1093;361;95;19
69;70;4268;448;1170;585;195;50;10;2223;1112;371;95;19
70;71;4375;489;1190;595;200;50;10;2261;1131;380;95;19
71;72;4484;541;1210;605;200;50;10;2299;1150;380;95;19
72;73;4596;586;1230;615;205;50;10;2337;1169;390;95;19
73;74;4711;625;1250;625;210;55;10;2375;1188;399;105;19
74;75;4829;686;1270;635;210;55;10;2413;1207;399;105;19
75;76;4950;740;1290;645;215;55;10;2451;1226;409;105;19
76;77;5074;798;1310;655;220;55;10;2489;1245;418;105;19
77;78;5200;838;1335;670;225;55;10;2537;1273;428;105;19
78;79;5330;911;1355;680;225;55;10;2575;1292;428;105;19
79;80;5464;970;1375;690;230;60;10;2613;1311;437;114;19
80;81;5600;1039;1395;700;235;60;10;2651;1330;447;114;19
81;82;5740;1122;1415;710;235;60;10;2689;1349;447;114;19
82;83;5884;1200;1435;720;240;60;10;2727;1368;456;114;19
83;84;6031;1280;1455;730;245;60;10;2765;1387;466;114;19
84;85;6182;1365;1480;740;245;60;10;2812;1406;466;114;19
85;86;6336;1433;1500;750;250;65;15;2850;1425;475;124;29
86;87;6494;1524;1520;760;255;65;15;2888;1444;485;124;29
