Current Level;Goal Level;Total Fps;Owner Investment;P1 Reward;P2 Reward;P3 Reward;P4 Reward;P5 Reward;P1 Reward (Arc Level 80);P2 Reward (Arc Level 80);P3 Reward (Arc Level 80);P4 Reward (Arc Level 80);P5 Reward (Arc Level 80)
0;1;40;20;5;5;0;0;0;10;10;0;0;0
1;2;60;31;10;5;0;0;0;19;10;0;0;0
2;3;100;71;10;5;0;0;0;19;10;0;0;0
3;4;150;92;15;10;5;0;0;29;19;10;0;0
4;5;210;123;25;15;5;0;0;48;29;10;0;0
5;6;270;174;30;15;5;0;0;57;29;10;0;0
6;7;330;215;35;20;5;0;0;67;38;10;0;0
7;8;380;256;40;20;5;0;0;76;38;10;0;0
8;9;450;287;45;25;10;5;0;86;48;19;10;0
9;10;510;319;55;30;10;5;0;105;57;19;10;0
10;11;523;323;60;30;10;5;0;114;57;19;10;0
11;12;536;316;65;35;10;5;0;124;67;19;10;0
12;13;550;292;75;40;15;5;0;143;76;29;10;0
13;14;563;296;80;40;15;5;0;152;76;29;10;0
14;15;578;291;85;45;15;5;0;162;86;29;10;0
15;16;592;277;95;50;15;5;0;181;95;29;10;0
16;17;607;283;100;50;15;5;0;190;95;29;10;0
17;18;622;260;110;55;20;5;0;209;105;38;10;0
18;19;637;256;115;60;20;5;0;219;114;38;10;0
19;20;653;243;125;65;20;5;0;238;124;38;10;0
20;21;670;251;130;65;20;5;0;247;124;38;10;0
21;22;686;229;140;70;25;5;0;266;133;48;10;0
22;23;704;227;145;75;25;5;0;276;143;48;10;0
23;24;721;216;155;80;25;5;0;295;152;48;10;0
24;25;739;225;160;80;25;5;0;304;152;48;10;0
25;26;758;197;170;85;30;10;0;323;162;57;19;0
26;27;777;188;180;90;30;10;0;342;171;57;19;0
27;28;796;187;185;95;30;10;0;352;181;57;19;0
28;29;816;169;195;100;35;10;0;371;190;67;19;0
29;30;836;180;200;100;35;10;0;380;190;67;19;0
30;31;857;172;210;105;35;10;0;399;200;67;19;0
31;32;879;166;220;110;35;10;0;418;209;67;19;0
32;33;900;158;225;115;40;10;0;428;219;76;19;0
33;34;923;153;235;120;40;10;0;447;228;76;19;0
34;35;946;147;245;125;40;10;0;466;238;76;19;0
35;36;970;162;250;125;40;10;0;475;238;76;19;0
36;37;994;148;260;130;45;10;0;494;247;86;19;0
37;38;1019;144;270;135;45;10;0;513;257;86;19;0
38;39;1044;150;275;140;45;10;0;523;266;86;19;0
39;40;1070;118;285;145;50;15;5;542;276;95;29;10
40;41;1097;117;295;150;50;15;5;561;285;95;29;10
41;42;1124;135;300;150;50;15;5;570;285;95;29;10
42;43;1153;135;310;155;50;15;5;589;295;95;29;10
43;44;1181;125;320;160;55;15;5;608;304;105;29;10
44;45;1211;126;330;165;55;15;5;627;314;105;29;10
45;46;1241;128;340;170;55;15;5;646;323;105;29;10
46;47;1272;130;345;175;60;15;5;656;333;114;29;10
47;48;1304;134;355;180;60;15;5;675;342;114;29;10
