Current Level;Goal Level;Total Fps;Owner Investment;P1 Reward;P2 Reward;P3 Reward;P4 Reward;P5 Reward;P1 Reward (Arc Level 80);P2 Reward (Arc Level 80);P3 Reward (Arc Level 80);P4 Reward (Arc Level 80);P5 Reward (Arc Level 80)
0;1;20;0;5;5;0;0;0;10;10;0;0;0
1;2;40;11;10;5;0;0;0;19;10;0;0;0
2;3;60;2;15;10;5;0;0;29;19;10;0;0
3;4;130;63;20;10;5;0;0;38;19;10;0;0
4;5;210;123;25;15;5;0;0;48;29;10;0;0
5;6;290;175;35;20;5;0;0;67;38;10;0;0
6;7;370;246;40;20;5;0;0;76;38;10;0;0
7;8;460;288;50;25;10;5;0;95;48;19;10;0
8;9;550;359;55;30;10;5;0;105;57;19;10;0
9;10;650;430;65;35;10;5;0;124;67;19;10;0
10;11;667;438;70;35;10;5;0;133;67;19;10;0
11;12;683;416;80;40;15;5;0;152;76;29;10;0
12;13;700;413;85;45;15;5;0;162;86;29;10;0
13;14;718;403;95;50;15;5;0;181;95;29;10;0
14;15;736;412;100;50;15;5;0;190;95;29;10;0
15;16;754;392;110;55;20;5;0;209;105;38;10;0
16;17;773;383;120;60;20;5;0;228;114;38;10;0
17;18;792;373;130;65;20;5;0;247;124;38;10;0
18;19;812;364;135;70;25;5;0;257;133;48;10;0
19;20;833;356;145;75;25;5;0;276;143;48;10;0
20;21;853;348;155;80;25;5;0;295;152;48;10;0
21;22;875;323;165;85;30;10;0;314;162;57;19;0
22;23;897;317;175;90;30;10;0;333;171;57;19;0
23;24;919;330;180;90;30;10;0;342;171;57;19;0
24;25;942;324;190;95;30;10;0;361;181;57;19;0
25;26;965;309;200;100;35;10;0;380;190;67;19;0
26;27;990;305;210;105;35;10;0;399;200;67;19;0
27;28;1014;301;220;110;35;10;0;418;209;67;19;0
28;29;1040;289;230;115;40;10;0;437;219;76;19;0
29;30;1066;287;240;120;40;10;0;456;228;76;19;0
30;31;1092;284;250;125;40;10;0;475;238;76;19;0
31;32;1120;283;255;130;45;10;0;485;247;86;19;0
32;33;1147;281;265;135;45;10;0;504;257;86;19;0
33;34;1176;282;275;140;45;10;0;523;266;86;19;0
34;35;1206;254;285;145;50;15;5;542;276;95;29;10
35;36;1236;256;295;150;50;15;5;561;285;95;29;10
36;37;1267;258;305;155;50;15;5;580;295;95;29;10
37;38;1298;251;315;160;55;15;5;599;304;105;29;10
38;39;1331;255;325;165;55;15;5;618;314;105;29;10
39;40;1364;260;335;170;55;15;5;637;323;105;29;10
40;41;1398;256;345;175;60;15;5;656;333;114;29;10
41;42;1433;254;360;180;60;15;5;684;342;114;29;10
42;43;1469;261;370;185;60;15;5;703;352;114;29;10
43;44;1505;259;380;190;65;15;5;722;361;124;29;10
44;45;1543;268;390;195;65;15;5;741;371;124;29;10
45;46;1582;279;400;200;65;15;5;760;380;124;29;10
46;47;1621;271;410;205;70;20;5;779;390;133;38;10
47;48;1662;284;420;210;70;20;5;798;399;133;38;10
48;49;1703;296;430;215;70;20;5;817;409;133;38;10
49;50;1746;301;440;220;75;20;5;836;418;143;38;10
50;51;1789;315;450;225;75;20;5;855;428;143;38;10
51;52;1834;303;465;235;80;20;5;884;447;152;38;10
52;53;1880;321;475;240;80;20;5;903;456;152;38;10
53;54;1927;339;485;245;80;20;5;922;466;152;38;10
54;55;1975;349;495;250;85;20;5;941;475;162;38;10
55;56;2025;370;505;255;85;20;5;960;485;162;38;10
56;57;2075;392;515;260;85;20;5;979;494;162;38;10
57;58;2127;396;525;265;90;25;5;998;504;171;48;10
58;59;2180;412;540;270;90;25;5;1026;513;171;48;10
59;60;2235;438;550;275;90;25;5;1045;523;171;48;10
60;61;2290;455;560;280;95;25;5;1064;532;181;48;10
61;62;2348;484;570;285;95;25;5;1083;542;181;48;10
62;63;2406;485;585;295;100;25;5;1112;561;190;48;10
63;64;2467;518;595;300;100;25;5;1131;570;190;48;10
64;65;2528;550;605;305;100;25;5;1150;580;190;48;10
65;66;2591;575;615;310;105;25;5;1169;589;200;48;10
66;67;2656;611;625;315;105;25;5;1188;599;200;48;10
67;68;2723;641;640;320;105;25;5;1216;608;200;48;10
68;69;2791;662;650;325;110;30;5;1235;618;209;57;10
69;70;2860;703;660;330;110;30;5;1254;627;209;57;10
70;71;2932;717;675;340;115;30;5;1283;646;219;57;10
71;72;3005;761;685;345;115;30;5;1302;656;219;57;10
72;73;3080;808;695;350;115;30;5;1321;665;219;57;10
73;74;3157;847;705;355;120;30;5;1340;675;228;57;10
74;75;3236;889;720;360;120;30;5;1368;684;228;57;10
75;76;3317;941;730;365;120;30;5;1387;694;228;57;10
76;77;3400;986;740;370;125;30;5;1406;703;238;57;10
77;78;3485;1023;755;380;125;30;5;1435;722;238;57;10
78;79;3572;1062;765;385;130;35;5;1454;732;247;67;10
79;80;3661;1123;775;390;130;35;5;1473;741;247;67;10
80;81;3753;1177;790;395;130;35;5;1501;751;247;67;10
81;82;3847;1233;800;400;135;35;5;1520;760;257;67;10
82;83;3943;1300;810;405;135;35;5;1539;770;257;67;10
83;84;4041;1341;825;415;140;35;5;1568;789;266;67;10
84;85;4142;1414;835;420;140;35;5;1587;798;266;67;10
85;86;4246;1480;850;425;140;35;5;1615;808;266;67;10
86;87;4352;1548;860;430;145;35;5;1634;817;276;67;10
87;88;4461;1609;875;440;145;35;5;1663;836;276;67;10
88;89;4572;1664;885;445;150;40;10;1682;846;285;76;19
89;90;4687;1751;895;450;150;40;10;1701;855;285;76;19
90;91;4804;1830;910;455;150;40;10;1729;865;285;76;19
91;92;4924;1912;920;460;155;40;10;1748;874;295;76;19
92;93;5047;2006;930;465;155;40;10;1767;884;295;76;19
93;94;5173;2075;945;475;160;40;10;1796;903;304;76;19
94;95;5303;2177;955;480;160;40;10;1815;912;304;76;19
95;96;5435;2271;970;485;160;40;10;1843;922;304;76;19
96;97;5571;2369;980;490;165;40;10;1862;931;314;76;19
97;98;5710;2460;995;500;165;40;10;1891;950;314;76;19
98;99;5853;2555;1005;505;170;45;10;1910;960;323;86;19
99;100;5999;2673;1015;510;170;45;10;1929;969;323;86;19
100;101;6149;2785;1030;515;170;45;10;1957;979;323;86;19
101;102;6303;2901;1040;520;175;45;10;1976;988;333;86;19
102;103;6461;3011;1055;530;175;45;10;2005;1007;333;86;19
103;104;6622;3134;1065;535;180;45;10;2024;1017;342;86;19
104;105;6788;3263;1080;540;180;45;10;2052;1026;342;86;19
105;106;6957;3403;1090;545;180;45;10;2071;1036;342;86;19
106;107;7131;3519;1105;555;185;45;10;2100;1055;352;86;19
107;108;7309;3669;1115;560;185;45;10;2119;1064;352;86;19
108;109;7492;3796;1130;565;190;50;10;2147;1074;361;95;19
109;110;7679;3955;1140;570;190;50;10;2166;1083;361;95;19
110;111;7871;4089;1155;580;195;50;10;2195;1102;371;95;19
111;112;8068;4257;1165;585;195;50;10;2214;1112;371;95;19
112;113;8270;4422;1180;590;195;50;10;2242;1121;371;95;19
113;114;8477;4591;1190;595;200;50;10;2261;1131;380;95;19
114;115;8688;4754;1205;605;200;50;10;2290;1150;380;95;19
115;116;8906;4934;1215;610;205;50;10;2309;1159;390;95;19
116;117;9128;5118;1230;615;205;50;10;2337;1169;390;95;19
117;118;9357;5319;1240;620;205;50;10;2356;1178;390;95;19
118;119;9590;5485;1255;630;210;55;10;2385;1197;399;105;19
119;120;9830;5696;1265;635;210;55;10;2404;1207;399;105;19
120;121;10076;5895;1280;640;215;55;10;2432;1216;409;105;19
121;122;10328;6118;1290;645;215;55;10;2451;1226;409;105;19
122;123;10586;6319;1305;655;220;55;10;2480;1245;418;105;19
123;124;10851;6547;1320;660;220;55;10;2508;1254;418;105;19
124;125;11122;6789;1330;665;220;55;10;2527;1264;418;105;19
125;126;11400;7009;1345;675;225;55;10;2556;1283;428;105;19
126;127;11685;7266;1355;680;225;55;10;2575;1292;428;105;19
127;128;11977;7502;1370;685;230;60;10;2603;1302;437;114;19
128;129;12276;7773;1380;690;230;60;10;2622;1311;437;114;19
129;130;12583;8022;1395;700;235;60;10;2651;1330;447;114;19
130;131;12898;8308;1405;705;235;60;10;2670;1340;447;114;19
131;132;13220;8593;1420;710;235;60;10;2698;1349;447;114;19
132;133;13551;8867;1435;720;240;60;10;2727;1368;456;114;19
133;134;13890;9177;1445;725;240;60;10;2746;1378;456;114;19
134;135;14237;9477;1460;730;245;60;10;2774;1387;466;114;19
135;136;14593;9785;1475;740;245;60;10;2803;1406;466;114;19
136;137;14957;10091;1485;745;250;65;15;2822;1416;475;124;29
137;138;15331;10428;1500;750;250;65;15;2850;1425;475;124;29
138;139;15715;10783;1510;755;250;65;15;2869;1435;475;124;29
139;140;16108;11118;1525;765;255;65;15;2898;1454;485;124;29
140;141;16510;11483;1540;770;255;65;15;2926;1463;485;124;29
141;142;16923;11858;1550;775;260;65;15;2945;1473;494;124;29
142;143;17346;12233;1565;785;260;65;15;2974;1492;494;124;29
143;144;17780;12629;1575;790;265;65;15;2993;1501;504;124;29
144;145;18224;13035;1590;795;265;65;15;3021;1511;504;124;29
145;146;18680;13425;1605;805;270;70;15;3050;1530;513;133;29
146;147;19147;13864;1615;810;270;70;15;3069;1539;513;133;29
147;148;19625;14304;1630;815;270;70;15;3097;1549;513;133;29
148;149;20116;14737;1645;825;275;70;15;3126;1568;523;133;29
149;150;20619;15212;1655;830;275;70;15;3145;1577;523;133;29
150;151;21134;15680;1670;835;280;70;15;3173;1587;532;133;29
151;152;21663;16161;1685;845;280;70;15;3202;1606;532;133;29
152;153;22204;16664;1695;850;285;70;15;3221;1615;542;133;29
153;154;22759;17181;1710;855;285;70;15;3249;1625;542;133;29
154;155;23328;17683;1725;865;290;75;15;3278;1644;551;143;29
155;156;23911;18238;1735;870;290;75;15;3297;1653;551;143;29
156;157;24509;18798;1750;875;290;75;15;3325;1663;551;143;29
157;158;25122;19353;1765;885;295;75;15;3354;1682;561;143;29
158;159;25750;19953;1775;890;295;75;15;3373;1691;561;143;29
159;160;26394;20550;1790;895;300;75;15;3401;1701;570;143;29
160;161;27054;21162;1805;905;300;75;15;3430;1720;570;143;29
161;162;27730;21791;1820;910;305;75;15;3458;1729;580;143;29
162;163;28423;22455;1830;915;305;75;15;3477;1739;580;143;29
163;164;29134;23100;1845;925;310;80;15;3506;1758;589;152;29
164;165;29862;23800;1855;930;310;80;15;3525;1767;589;152;29
165;166;30609;24509;1870;935;310;80;15;3553;1777;589;152;29
166;167;31374;25216;1885;945;315;80;15;3582;1796;599;152;29
167;168;32158;25963;1900;950;315;80;15;3610;1805;599;152;29
168;169;32962;26729;1910;955;320;80;15;3629;1815;608;152;29
169;170;33786;27505;1925;965;320;80;15;3658;1834;608;152;29
170;171;34631;28303;1940;970;325;80;15;3686;1843;618;152;29
