Current Level;Goal Level;Total Fps;Owner Investment;P1 Reward;P2 Reward;P3 Reward;P4 Reward;P5 Reward;P1 Reward (Arc Level 80);P2 Reward (Arc Level 80);P3 Reward (Arc Level 80);P4 Reward (Arc Level 80);P5 Reward (Arc Level 80)
0;1;90;61;10;5;0;0;0;19;10;0;0;0
1;2;150;92;15;10;5;0;0;29;19;10;0;0
2;3;260;164;30;15;5;0;0;57;29;10;0;0
3;4;390;266;40;20;5;0;0;76;38;10;0;0
4;5;540;349;55;30;10;5;0;105;57;19;10;0
5;6;670;441;70;35;10;5;0;133;67;19;10;0
6;7;830;543;85;45;15;5;0;162;86;29;10;0
7;8;990;666;100;50;15;5;0;190;95;29;10;0
8;9;1140;759;115;60;20;5;0;219;114;38;10;0
9;10;1300;881;130;65;20;5;0;247;124;38;10;0
10;11;1333;847;150;75;25;5;0;285;143;48;10;0
11;12;1366;814;165;85;30;10;0;314;162;57;19;0
12;13;1400;791;185;95;30;10;0;352;181;57;19;0
13;14;1435;779;200;100;35;10;0;380;190;67;19;0
14;15;1471;758;220;110;35;10;0;418;209;67;19;0
15;16;1508;738;235;120;40;10;0;447;228;76;19;0
16;17;1546;709;255;130;45;10;0;485;247;86;19;0
17;18;1584;690;275;140;45;10;0;523;266;86;19;0
18;19;1624;644;295;150;50;15;5;561;285;95;29;10
19;20;1665;647;310;155;50;15;5;589;295;95;29;10
20;21;1706;621;330;165;55;15;5;627;314;105;29;10
21;22;1749;598;350;175;60;15;5;665;333;114;29;10
22;23;1793;585;370;185;60;15;5;703;352;114;29;10
23;24;1837;562;390;195;65;15;5;741;371;124;29;10
24;25;1883;533;410;205;70;20;5;779;390;133;38;10
25;26;1930;523;430;215;70;20;5;817;409;133;38;10
26;27;1979;505;450;225;75;20;5;855;428;143;38;10
27;28;2028;488;470;235;80;20;5;893;447;152;38;10
28;29;2079;482;490;245;80;20;5;931;466;152;38;10
29;30;2131;467;510;255;85;20;5;969;485;162;38;10
30;31;2184;444;530;265;90;25;5;1007;504;171;48;10
31;32;2239;442;550;275;90;25;5;1045;523;171;48;10
32;33;2294;411;575;290;95;25;5;1093;551;181;48;10
33;34;2352;403;595;300;100;25;5;1131;570;190;48;10
34;35;2411;395;615;310;105;25;5;1169;589;200;48;10
35;36;2471;398;635;320;105;25;5;1207;608;200;48;10
36;37;2533;376;660;330;110;30;5;1254;627;209;57;10
37;38;2596;372;680;340;115;30;5;1292;646;219;57;10
38;39;2661;380;700;350;115;30;5;1330;665;219;57;10
39;40;2727;360;725;365;120;30;5;1378;694;228;57;10
40;41;2796;362;745;375;125;30;5;1416;713;238;57;10
41;42;2865;346;770;385;130;35;5;1463;732;247;67;10
42;43;2937;361;790;395;130;35;5;1501;751;247;67;10
43;44;3010;367;810;405;135;35;5;1539;770;257;67;10
44;45;3086;358;835;420;140;35;5;1587;798;266;67;10
45;46;3163;368;855;430;145;35;5;1625;817;276;67;10
46;47;3242;381;880;440;145;35;5;1672;836;276;67;10
47;48;3323;358;905;455;150;40;10;1720;865;285;76;19
48;49;3406;374;925;465;155;40;10;1758;884;295;76;19
49;50;3491;384;950;475;160;40;10;1805;903;304;76;19
50;51;3578;414;970;485;160;40;10;1843;922;304;76;19
51;52;3668;418;995;500;165;40;10;1891;950;314;76;19
52;53;3759;433;1015;510;170;45;10;1929;969;323;86;19
53;54;3853;451;1040;520;175;45;10;1976;988;333;86;19
54;55;3950;462;1065;535;180;45;10;2024;1017;342;86;19
55;56;4049;504;1085;545;180;45;10;2062;1036;342;86;19
56;57;4150;529;1110;555;185;45;10;2109;1055;352;86;19
57;58;4253;538;1135;570;190;50;10;2157;1083;361;95;19
58;59;4360;569;1160;580;195;50;10;2204;1102;371;95;19
59;60;4469;621;1180;590;195;50;10;2242;1121;371;95;19
60;61;4580;646;1205;605;200;50;10;2290;1150;380;95;19
61;62;4695;685;1230;615;205;50;10;2337;1169;390;95;19
62;63;4812;707;1255;630;210;55;10;2385;1197;399;105;19
63;64;4933;761;1275;640;215;55;10;2423;1216;409;105;19
64;65;5056;818;1300;650;215;55;10;2470;1235;409;105;19
65;66;5182;858;1325;665;220;55;10;2518;1264;418;105;19
66;67;5312;912;1350;675;225;55;10;2565;1283;428;105;19
67;68;5445;951;1375;690;230;60;10;2613;1311;437;114;19
68;69;5581;1011;1400;700;235;60;10;2660;1330;447;114;19
69;70;5720;1064;1425;715;240;60;10;2708;1359;456;114;19
70;71;5863;1141;1450;725;240;60;10;2755;1378;456;114;19
71;72;6010;1221;1470;735;245;60;10;2793;1397;466;114;19
72;73;6160;1257;1500;750;250;65;15;2850;1425;475;124;29
73;74;6314;1344;1520;760;255;65;15;2888;1444;485;124;29
74;75;6472;1416;1545;775;260;65;15;2936;1473;494;124;29
75;76;6634;1512;1570;785;260;65;15;2983;1492;494;124;29
76;77;6799;1591;1595;800;265;65;15;3031;1520;504;124;29
77;78;6969;1677;1620;810;270;70;15;3078;1539;513;133;29
78;79;7144;1756;1650;825;275;70;15;3135;1568;523;133;29
79;80;7322;1868;1670;835;280;70;15;3173;1587;532;133;29
80;81;7505;1965;1695;850;285;70;15;3221;1615;542;133;29
81;82;7693;2048;1725;865;290;75;15;3278;1644;551;143;29
82;83;7885;2174;1750;875;290;75;15;3325;1663;551;143;29
83;84;8082;2285;1775;890;295;75;15;3373;1691;561;143;29
84;85;8284;2412;1800;900;300;75;15;3420;1710;570;143;29
85;86;8491;2532;1825;915;305;75;15;3468;1739;580;143;29
86;87;8704;2661;1850;925;310;80;15;3515;1758;589;152;29
87;88;8921;2792;1875;940;315;80;15;3563;1786;599;152;29
88;89;9144;2949;1900;950;315;80;15;3610;1805;599;152;29
89;90;9373;3083;1930;965;320;80;15;3667;1834;608;152;29
90;91;9607;3231;1955;980;325;80;15;3715;1862;618;152;29
91;92;9847;3386;1980;990;330;85;15;3762;1881;627;162;29
92;93;10094;3546;2005;1005;335;85;15;3810;1910;637;162;29
93;94;10346;3723;2030;1015;340;85;15;3857;1929;646;162;29
94;95;10605;3887;2060;1030;345;85;15;3914;1957;656;162;29
95;96;10870;4048;2085;1045;350;90;20;3962;1986;665;171;38
96;97;11141;4253;2110;1055;350;90;20;4009;2005;665;171;38
97;98;11420;4446;2135;1070;355;90;20;4057;2033;675;171;38
98;99;11705;4656;2160;1080;360;90;20;4104;2052;684;171;38
99;100;11998;4853;2190;1095;365;90;20;4161;2081;694;171;38
100;101;12298;5058;2215;1110;370;95;20;4209;2109;703;181;38
101;102;12605;5289;2240;1120;375;95;20;4256;2128;713;181;38
102;103;12921;5519;2265;1135;380;95;20;4304;2157;722;181;38
103;104;13244;5747;2295;1150;385;95;20;4361;2185;732;181;38
104;105;13575;6012;2320;1160;385;95;20;4408;2204;732;181;38
105;106;13914;6247;2350;1175;390;100;20;4465;2233;741;190;38
106;107;14262;6509;2375;1190;395;100;20;4513;2261;751;190;38
107;108;14618;6790;2400;1200;400;100;20;4560;2280;760;190;38
108;109;14984;7060;2430;1215;405;100;20;4617;2309;770;190;38
109;110;15358;7339;2455;1230;410;105;20;4665;2337;779;200;38
110;111;15742;7647;2480;1240;415;105;20;4712;2356;789;200;38
111;112;16136;7946;2510;1255;420;105;20;4769;2385;798;200;38
112;113;16539;8263;2535;1270;425;105;20;4817;2413;808;200;38
113;114;16953;8573;2565;1285;430;110;20;4874;2442;817;209;38
