Current Level;Goal Level;Total Fps;Owner Investment;P1 Reward;P2 Reward;P3 Reward;P4 Reward;P5 Reward;P1 Reward (Arc Level 80);P2 Reward (Arc Level 80);P3 Reward (Arc Level 80);P4 Reward (Arc Level 80);P5 Reward (Arc Level 80)
0;1;70;41;10;5;0;0;0;19;10;0;0;0
1;2;100;42;15;10;5;0;0;29;19;10;0;0
2;3;190;123;20;10;5;0;0;38;19;10;0;0
3;4;280;165;35;20;5;0;0;67;38;10;0;0
4;5;380;217;45;25;10;5;0;86;48;19;10;0
5;6;480;289;55;30;10;5;0;105;57;19;10;0
6;7;590;370;65;35;10;5;0;124;67;19;10;0
7;8;710;443;80;40;15;5;0;152;76;29;10;0
8;9;810;514;90;45;15;5;0;171;86;29;10;0
9;10;930;577;105;55;20;5;0;200;105;38;10;0
10;11;954;564;120;60;20;5;0;228;114;38;10;0
11;12;978;559;130;65;20;5;0;247;124;38;10;0
12;13;1002;525;145;75;25;5;0;276;143;48;10;0
13;14;1027;513;160;80;25;5;0;304;152;48;10;0
14;15;1053;473;175;90;30;10;0;333;171;57;19;0
15;16;1079;470;185;95;30;10;0;352;181;57;19;0
16;17;1106;450;200;100;35;10;0;380;190;67;19;0
17;18;1134;430;215;110;35;10;0;409;209;67;19;0
18;19;1162;411;230;115;40;10;0;437;219;76;19;0
19;20;1191;392;245;125;40;10;0;466;238;76;19;0
20;21;1221;375;260;130;45;10;0;494;247;86;19;0
21;22;1251;357;275;140;45;10;0;523;266;86;19;0
22;23;1283;322;290;145;50;15;5;551;276;95;29;10
23;24;1315;306;305;155;50;15;5;580;295;95;29;10
24;25;1347;291;320;160;55;15;5;608;304;105;29;10
25;26;1381;277;335;170;55;15;5;637;323;105;29;10
26;27;1416;246;355;180;60;15;5;675;342;114;29;10
27;28;1451;243;370;185;60;15;5;703;352;114;29;10
28;29;1487;221;385;195;65;15;5;732;371;124;29;10
29;30;1524;221;400;200;65;15;5;760;380;124;29;10
30;31;1563;185;420;210;70;20;5;798;399;133;38;10
31;32;1602;166;435;220;75;20;5;827;418;143;38;10
32;33;1642;168;450;225;75;20;5;855;428;143;38;10
33;34;1683;152;465;235;80;20;5;884;447;152;38;10
34;35;1725;137;485;245;80;20;5;922;466;152;38;10
35;36;1768;133;500;250;85;20;5;950;475;162;38;10
36;37;1812;129;515;260;85;20;5;979;494;162;38;10
37;38;1857;98;535;270;90;25;5;1017;513;171;48;10
38;39;1904;107;550;275;90;25;5;1045;523;171;48;10
39;40;1951;87;570;285;95;25;5;1083;542;181;48;10
40;41;2000;79;585;295;100;25;5;1112;561;190;48;10
41;42;2050;72;605;305;100;25;5;1150;580;190;48;10
42;43;2101;76;620;310;105;25;5;1178;589;200;48;10
43;44;2154;72;640;320;105;25;5;1216;608;200;48;10
44;45;2208;60;655;330;110;30;5;1245;627;209;57;10
45;46;2263;48;675;340;115;30;5;1283;646;219;57;10
46;47;2319;66;690;345;115;30;5;1311;656;219;57;10
47;48;2377;58;710;355;120;30;5;1349;675;228;57;10
48;49;2437;61;730;365;120;30;5;1387;694;228;57;10
49;50;2498;64;745;375;125;30;5;1416;713;238;57;10
50;51;2560;50;765;385;130;35;5;1454;732;247;67;10
51;52;2624;77;780;390;130;35;5;1482;741;247;67;10
52;53;2690;76;800;400;135;35;5;1520;760;257;67;10
53;54;2757;86;820;410;135;35;5;1558;779;257;67;10
54;55;2826;98;835;420;140;35;5;1587;798;266;67;10
55;56;2896;101;855;430;145;35;5;1625;817;276;67;10
56;57;2969;117;875;440;145;35;5;1663;836;276;67;10
57;58;3043;126;890;445;150;40;10;1691;846;285;76;19
58;59;3119;145;910;455;150;40;10;1729;865;285;76;19
59;60;3197;156;930;465;155;40;10;1767;884;295;76;19
60;61;3277;179;945;475;160;40;10;1796;903;304;76;19
61;62;3359;204;965;485;160;40;10;1834;922;304;76;19
62;63;3443;221;985;495;165;40;10;1872;941;314;76;19
